county_fips,capex_share_base,capex_share_post,capex_share_chg,ds_burden_base,ds_burden_post,ds_burden_chg,newdebt_share_base,newdebt_share_post,newdebt_share_chg,capex_level_cagr
06083,,0.17648283607286783,,0.0,0.007052245568745105,0.007052245568745105,2.1550098591701056e-05,,,
06085,0.0331672877177228,0.09310521673618832,0.05993792901846552,0.023069437774611727,0.05154595134546969,0.02847651357085796,0.002466292121356898,0.001076179310062097,-0.0013901128112948013,0.19730997399576888
06087,0.03170974070375845,0.039499399819655986,0.007789659115897539,0.013176915606194823,0.027950858336669496,0.014773942730474674,,0.0023904293348056913,,0.024143249251264542
06089,,,,0.0,0.014982298208201173,0.014982298208201173,,,,
06091,0.06773595278829038,0.1282049845821568,0.06046903179386641,0.03556452296388109,0.05047646462081769,0.0149119416569366,0.02402722751312793,0.0008975608814400755,-0.023129666631687855,0.22077623776464117
06093,0.01909952748927138,0.056585750588609596,0.03748622309933822,0.019290405298565207,0.016549605703330684,-0.0027407995952345235,,0.007822274575141043,,0.24947697525999546
06095,0.02962838983743447,0.042183975040174286,0.012555585202739816,0.029549383269787986,0.016945880763670543,-0.012603502506117442,,0.003647961515172253,,0.1104153939800474
06097,,,,,1.1808935207206662e-06,,,,,
06099,0.04646559769914368,0.032035163942540766,-0.014430433756602912,0.01920206969715865,0.011828713554267845,-0.007373356142890804,0.0047789364568753415,0.0030209464943929732,-0.0017579899624823683,-0.025861491829319072
06101,0.01936068816981225,0.032117736809639745,0.012757048639827497,0.004232281056692976,0.011182862700647772,0.0069505816439547966,,0.010141876946962525,,0.07634596652759473
06103,0.04989842205363424,0.008137771305556743,-0.0417606507480775,0.00978441579868536,0.007435242885809294,-0.0023491729128760665,0.0007111228443024187,,,-0.2352387489329949
06105,0.013813963420409378,0.032256339400025126,0.018442375979615747,0.040517360348742884,0.014956551700193015,-0.02556080864854987,,0.002039183432793114,,0.21669221851394793
06107,0.07259142034850606,0.07303478230499692,0.00044336195649086196,0.005710912455269387,0.03033214805595101,0.024621235600681624,,,,0.06643037362270876
06115,0.0437321943116282,0.05257899322385526,0.00884679891222706,0.03101814146545638,0.027050487951076535,-0.003967653514379846,,0.0022611277020773137,,0.11223877543448268
08001,0.1116549606947864,0.11747058588488189,0.005815625190095486,0.040920665849624595,0.026127479693242226,-0.014793186156382369,0.0034825524999944363,0.004136046422740667,0.0006534939227462308,0.08963628868631712
08003,0.2052991796839084,0.04785822908086384,-0.15744095060304455,0.0,0.0,0.0,0.7204199158566273,0.007429197661288654,-0.7129907181953387,-0.20598098702740508
08005,,,,,,,,,,
08007,0.07857928424075529,0.19057112279490804,0.11199183855415275,0.02436621681359127,0.03081963680818514,0.006453419994593871,,0.02011447922331991,,0.25460416026334176
08009,0.05092043141692951,0.05888319739022238,0.007962765973292874,0.013455725841466704,0.0,-0.013455725841466704,,3.9413664312019284e-05,,0.0407354758932994
08011,0.15409424420219806,0.056023573927451505,-0.09807067027474656,2.5946614386833342e-05,0.0,-2.5946614386833342e-05,,,,-0.14450381347729768
08013,0.020517136000497354,0.15120700407024634,0.130689868069749,0.10096584544393622,0.051056624189399775,-0.049909221254536444,0.007058602511507195,0.002008584294420734,-0.005050018217086461,0.43545676760146157
08014,0.15183631669930397,0.09058712270568677,-0.06124919399361721,0.09925744603823196,0.08378165737679677,-0.015475788661435189,0.29167495408876015,0.044222440831200256,-0.2474525132575599,9.062173371265914e-06
08017,0.0205778922090864,0.22605393569053012,0.20547604348144372,0.0,0.0,0.0,,,,0.513918937871511
08019,,0.13575868491069573,,0.0009708194367239551,0.025791153796246743,0.024820334359522786,,,,
08021,0.050908976650195815,0.056567073678647516,0.0056580970284517,0.0,0.0,0.0,0.007486521271142645,0.01980586571817855,0.012319344447035904,0.07157745538857374
08023,0.07710178000971048,0.08392293134944655,0.00682115133973607,0.0,0.0,0.0,0.0330431819991841,0.008900613308992174,-0.024142568690191928,0.05410906988315656
08025,0.049099431490493894,0.08926931914875619,0.04016988765826229,0.015708678427442422,0.011376552338842898,-0.004332126088599524,0.00553694066205651,0.0056354396893044745,9.849902724796446e-05,0.15233004714309017
08027,,0.09288930369332074,,,0.0,,,0.0015210138344602638,,
08029,0.05819037042214973,0.11608879365875058,0.05789842323660085,0.0,0.0,0.0,,,,0.19305584467933246
08031,0.044056543083331956,0.08897880153391477,0.044922258450582814,0.09627423186778881,0.06134508962256428,-0.03492914224522453,0.05281264281929357,0.009439680908348479,-0.04337296191094509,0.20312177458802383
08033,,,,0.0,0.0,0.0,,0.1928380975837996,,
08035,0.13883933521832423,0.10101565615205796,-0.03782367906626627,0.01568237073254859,0.008876163429543697,-0.006806207303004892,,0.0008345275918503241,,0.005239749067487809
08037,0.20942008766665424,0.17623702871451727,-0.03318305895213697,0.02886333574110182,0.026698975012868543,-0.0021643607282332764,,0.0019309186822774778,,0.042052829870008024
08039,0.2114370076980076,0.25020137540176934,0.03876436770376174,0.06530423018527697,0.060522558089317835,-0.00478167209595913,0.07704339019935737,0.039963434501543105,-0.03707995569781426,0.11476879249912275
08041,0.06561880307774053,0.10732132246127284,0.04170251938353231,0.0517940654028917,0.03280213940677582,-0.018991925996115877,0.012685149221312943,0.0022696221795533073,-0.010415527041759636,0.14110294334657913
08043,0.07725446727748694,0.07766605343467474,0.000411586157187796,0.06303542839593651,0.04141228961190853,-0.02162313878402798,,0.10360039226648399,,0.02500281608258126
08045,0.08507501419910571,0.04961465774518531,-0.0354603564539204,0.0,0.0,0.0,,,,-0.05052868786800313
08047,0.06520025780114531,0.11023670604451859,0.04503644824337327,0.025299485475739274,0.00858631022066611,-0.016713175255073164,,,,0.15589336948020915
08049,0.047806799354795725,0.08593782068920576,0.038131021334410035,0.002332066469590378,0.02581946848445633,0.023487402014865953,0.00442825781727554,0.007621251241123665,0.003192993423848125,0.21244998628380984
08051,,,,0.0,0.0,0.0,,0.0043916655253120555,,
08053,0.05938118187714303,0.024002293720060897,-0.035378888157082136,0.0,0.0,0.0,0.002441045220185817,0.012403945958215964,0.009962900738030148,0.012046734795998937
08055,0.13311967122203483,0.08647831288576466,-0.04664135833627017,0.00932070585769197,0.02305944926663971,0.01373874340894774,0.015865046577178892,,,-7.565453786828602e-05
08057,0.014542825627972248,,,0.0,,,,,,
08059,,0.13762524283456523,,0.05993117007327777,0.021824168740514033,-0.038107001332763735,0.007428086272922151,0.01634812983963401,0.00892004356671186,
08063,0.09024162135746781,0.01458862640302363,-0.07565299495444418,0.0,0.0,0.0,,,,-0.2008996252024079
08065,0.05531054174182914,0.042385711351931456,-0.012924830389897682,0.0,0.015893356873679102,0.015893356873679102,,0.17083602193560649,,0.04204659994751747
08067,0.1601352827222667,0.13325709107001157,-0.026878191652255135,0.0002852764726176895,0.0040131844353942115,0.003727907962776522,,0.00030251991177039465,,0.018931713080308388
08069,0.0825192721548796,0.1650773230787425,0.08255805092386291,0.03161015461046334,0.01800667431040164,-0.013603480300061702,,0.0004166198055950547,,0.20142955352944503
08071,0.29712915663693035,0.2248110009276022,-0.07231815570932815,0.0,0.003036908276880473,0.003036908276880473,,0.006110385945969825,,0.023541342358239348
08073,0.07463140114725857,0.07362615737464163,-0.0010052437726169317,0.02124857415352936,0.0,-0.02124857415352936,0.019009569682698502,0.0021982200903519883,-0.016811349592346515,0.049004134306786185
08075,0.06269958156647903,0.12193565457946658,0.05923607301298754,0.004779454848820551,0.007223755190940969,0.002444300342120418,0.004384789439505606,0.022431065498888875,0.01804627605938327,0.11200541064147851
08077,,,,0.012192415866070562,0.0075367570715092,-0.004655658794561362,,,,
08079,0.18280220076521272,0.1944109749426878,0.011608774177475079,0.0,0.0,0.0,0.061055770972476775,0.0,-0.061055770972476775,0.07976859466054842
08081,0.09589209915898182,0.2709042769910175,0.17501217783203565,0.027033974698410308,0.031798529549330753,0.004764554850920446,0.008646341560209457,0.005719486938451734,-0.002926854621757723,0.26965223054625254
08083,,,,0.0,0.0,0.0,,0.020421674927987618,,
