county_fips,name,state,mw_latest,dc_share_mid,n_dc,n_crypto,first_op_year,n_oper_by_2022,dc_class,treated_by_2022,oil_confound,pt_2017,pt_2022,pt_2017_src,pt_2022_src,pt_growth_pct
01071,Jackson County,AL,80.0,23.7093236915417,2,0,2019.0,2,clean_dc,True,False,5.685,4.269,census,census,-24.90765171503957
40101,Muskogee County,OK,200.0,23.515579071134628,1,1,2024.0,0,crypto,False,False,6.907,11.404,census,OK_TaxCommission_county_only,65.10786158969162
41065,Wasco County,OR,170.14655,22.650569770228177,6,0,2006.0,4,clean_dc,True,False,11.845,10.857,census,census,-8.341072182355436
13097,Douglas County,GA,563.61326,22.06043618828429,44,0,2003.0,3,clean_dc,True,False,46.274,73.533,census,census,58.90781000129663
39111,Monroe County,OH,100.0,20.9564524917222,1,1,2022.0,1,crypto,True,False,2.673,9.425,census,census,252.60007482229705
46119,Sully County,SD,30.0,20.764119601328904,1,1,2023.0,0,crypto,False,False,2.335,2.573,census,census,10.19271948608138
51107,Loudoun County,VA,4740.8181038,20.52984760214651,302,0,2000.0,145,clean_dc,True,False,1134.525,1745.084,census,census,53.81626671955222
13313,Whitfield County,GA,359.94917499999997,20.040374529541456,5,5,2018.0,2,crypto,True,False,26.43,68.133,census,census,157.7866061293984
39089,Licking County,OH,782.0,18.301302154030505,96,0,2016.0,11,clean_dc,True,False,27.107,46.318,census,census,70.87099273250452
19155,Pottawattamie County,IA,598.5008,17.399290656433514,17,0,2009.0,10,clean_dc,True,False,42.48,50.299,census,census,18.406308851224118
48109,Culberson County,TX,63.0,17.295338494481964,1,1,2024.0,0,crypto,False,False,3.268,3.927,census,census,20.165238678090592
37161,Rutherford County,NC,170.0,17.175881021661816,4,1,2011.0,4,mixed,True,False,41.523,52.241,census,census,25.812200467210932
48221,Hood County,TX,320.7,16.820871097683785,5,5,2022.0,1,crypto,True,False,22.765,30.109,census,census,32.26004831978915
18153,Sullivan County,IN,115.0,16.203573240151044,1,1,2022.0,1,crypto,True,False,6.834,7.848,IN_DLGF_certified_levy,census,14.83757682177349
21109,Jackson County,KY,9.0909091,14.762762422864563,1,1,2022.0,1,crypto,True,False,0.291,0.354,census,census,21.649484536082486
56021,Laramie County,WY,232.2,14.169422849262238,14,1,2002.0,6,mixed,True,False,27.279,30.745,census,census,12.705744345467206
37027,Caldwell County,NC,158.0,13.420082558988907,4,0,2004.0,4,clean_dc,True,False,46.11,103.752,census,census,125.00975927130776
31153,Sarpy County,NE,578.289,12.193604298100604,16,0,2001.0,12,clean_dc,True,False,38.999,51.796,census,census,32.813661888766376
13217,Newton County,GA,200.0,11.777869383428538,7,0,2021.0,2,clean_dc,True,False,33.011,50.755,census,census,53.7517797097937
53017,Douglas County,WA,84.81,11.604455147501504,12,3,2008.0,6,mixed,True,False,11.621,14.053,census,census,20.927631012821625
51153,Prince William County,VA,1760.0950428,11.15486581167547,164,0,2003.0,38,clean_dc,True,False,780.642,1086.788,census,census,39.21720840026541
45015,Berkeley County,SC,375.0104666,10.8133258728273,13,0,2008.0,10,clean_dc,True,False,28.773,31.342,census,census,8.928509366419913
30003,Big Horn County,MT,37.0,10.392674568844448,1,1,2021.0,1,crypto,True,False,9.91,15.189,census,census,53.2694248234107
19181,Warren County,IA,140.0,10.357174562779274,5,0,2023.0,0,clean_dc,False,False,13.175,15.853,census,census,20.32637571157494
01089,Madison County,AL,440.35,9.907528236511723,10,0,2021.0,2,clean_dc,True,False,48.58,61.708,census,census,27.023466447097565
47173,Union County,TN,9.0909091,9.593614499788938,1,1,2022.0,1,crypto,True,False,4.738,5.896,census,census,24.440692275221608
42007,Beaver County,PA,400.0,9.338332453973694,2,2,2023.0,0,crypto,False,False,48.172,59.111,census,census,22.708212239475213
42121,Venango County,PA,90.0,9.1552734375,1,1,2021.0,1,crypto,True,False,11.497,11.924,census,census,3.7140123510480905
17037,DeKalb County,IL,379.2,9.12095365920538,12,0,2024.0,0,clean_dc,False,False,24.072,27.749,census,census,15.275008308408111
47035,Cumberland County,TN,40.0,8.673779165582445,2,2,2024.0,0,crypto,False,False,20.488,23.156,census,census,13.022256930886368
30093,Silver Bow County,MT,75.0,8.585557946792436,2,1,2020.0,1,mixed,True,False,,,census,census,
21035,Calloway County,KY,35.0,8.459827902929517,2,1,2021.0,2,mixed,True,False,2.965,3.667,census,census,23.67622259696458
19049,Dallas County,IA,231.1394666,8.009212542274215,16,0,2011.0,5,clean_dc,True,False,26.538,29.605,census,census,11.557012585726124
38035,Grand Forks County,ND,130.0,7.882992141263219,2,2,2021.0,1,crypto,True,False,22.383,19.406,census,census,-13.30027252825805
21225,Union County,KY,13.0,7.331378299120235,1,1,2020.0,1,crypto,True,False,0.883,1.013,census,census,14.722536806342013
47025,Claiborne County,TN,20.0,7.2811999417504,1,1,2024.0,0,crypto,False,False,13.729,11.921,census,census,-13.169203875009106
48325,Medina County,TX,83.23083,6.740975945573824,5,0,2022.0,1,clean_dc,True,False,14.039,22.468,census,census,60.039888880974424
47013,Campbell County,TN,20.0,6.175889328063241,1,1,2024.0,0,crypto,False,False,13.587,16.767,census,census,23.404725104879653
39159,Union County,OH,90.0,6.124032062710088,10,0,2023.0,0,clean_dc,False,False,16.633,17.069,census,census,2.621295015932179
48441,Taylor County,TX,200.1,6.0952949562271925,14,1,2022.0,1,mixed,True,False,39.312,57.017,census,census,45.0371387871388
31019,Buffalo County,NE,100.0,5.798916762348793,1,1,2019.0,1,crypto,True,False,15.472,19.611,census,census,26.751551189245106
39063,Hancock County,OH,90.0,5.744045339664548,1,1,2024.0,0,crypto,False,False,11.872,15.347,census,census,29.2705525606469
28089,Madison County,MS,160.05,5.241079849104056,12,0,2025.0,0,clean_dc,False,False,46.202,56.592,census,census,22.48820397385394
47107,McMinn County,TN,20.0,5.00175061271445,1,0,2024.0,0,clean_dc,False,False,10.988,14.67,census,census,33.50928285402257
47165,Sumner County,TN,120.0,4.924167815639157,6,0,2023.0,0,clean_dc,False,False,85.643,124.979,census,census,45.93019861518162
21195,Pike County,KY,33.6363636,4.87653148921364,2,2,2022.0,2,crypto,True,False,8.664,4.778,census,census,-44.852262234533704
48067,Cass County,TX,40.0,4.643603436266543,1,1,2022.0,1,crypto,True,False,9.042,9.707,census,census,7.3545675735456895
48135,Ector County,TX,207.0,4.12483709882472,1,1,2022.0,1,crypto,True,True,46.39,56.843,census,census,22.53287346410866
47125,Montgomery County,TN,120.0,4.037522038141125,4,0,2019.0,3,clean_dc,True,False,114.851,121.311,census,census,5.624678931833427
48139,Ellis County,TX,217.5,3.993287604835275,25,0,2019.0,3,clean_dc,True,False,35.068,69.029,census,census,96.84327592106766
