county_fips,lt_debt_outstanding_end,rev_property_tax
05017,2.033,1.818
05019,,2.356
05021,0.109,1.596
05023,,4.052
05025,,3.784
05027,,3.706
05029,3.166,4.537
05031,,10.114
05033,29.962,5.024
05035,0.203,1.868
05037,,1.84
05039,,0.551
05041,,1.923
05043,26.704,1.673
05045,2.223,14.731
05047,3.098,2.72
05049,7.209,1.047
05051,64.84,7.359
05053,0.022,1.529
05055,9.2,2.828
05057,,2.711
05059,,3.94
05061,17.28,
05063,38.665,4.948
05065,,1.433
05067,8.755,2.038
05069,0.131,8.349
05071,,2.775
05073,3.195,0.749
05075,9.925,1.891
05077,,0.961
05079,,1.357
05081,0.144,1.685
05083,10.0,2.358
05085,,6.114
05087,,1.845
05089,,2.041
05091,,3.509
05093,2.884,6.105
05095,,1.236
05097,1.51,1.208
05099,,0.991
05101,0.38,
05103,19.752,2.488
05105,0.515,
05107,0.323,2.436
05109,,0.922
05111,,1.2
05113,,1.205
05115,,5.442
05117,3.248,1.444
05119,,57.793
05121,0.133,0.892
05123,,1.926
05125,19.133,15.613
05127,2.255,
05129,0.003,1.107
05131,,16.402
05133,1.055,1.299
05135,,0.794
05137,0.16,1.234
05139,,5.307
05141,8.218,4.087
05143,1.86,19.781
05145,1.388,5.803
05147,,1.389
05149,5.76,0.457
06001,1022.555,797.412
06003,1.005,5.506
06005,10.659,20.282
06007,62.318,65.17
06009,71.136,20.039
06011,0.817,17.583
06013,759.62,576.259
06015,7.59,7.991
06017,6.483,103.456
06019,545.97,236.029
06021,3.528,11.117
06023,12.459,45.742
06025,45.455,47.251
06027,6.421,12.839
06029,328.527,351.855
06031,32.907,47.17
06033,8.105,29.763
06035,3.8,8.514
06037,3654.926,6586.775
06039,58.607,45.87
06041,256.685,203.616
06043,12.361,8.147
06045,98.555,49.667
06047,34.984,99.79
06049,,4.54
06051,3.792,21.219
06053,337.794,165.328
06055,149.187,103.198
06057,44.972,41.146
06059,1887.528,948.888
06061,209.326,187.05
06063,13.977,11.499
06065,1250.875,818.939
06067,2926.269,448.741
06069,,18.853
06071,1121.124,702.922
06073,1991.278,1203.989
06077,645.877,245.205
06079,683.384,180.673
06081,879.796,409.313
06083,104.925,265.525
06085,1877.526,1288.569
06087,166.161,111.466
06089,36.27,48.859
06091,2.898,3.911
06093,140.254,17.548
06095,219.154,165.384
06097,702.056,267.171
06099,28.556,126.355
06101,9.81,31.6
06103,12.811,21.99
06105,4.443,7.772
06107,5.274,135.549
06109,14.55,24.185
06111,850.983,478.469
06113,39.63,57.713
06115,168.275,13.382
08001,190.39,151.962
08003,27.54,4.245
08005,163.716,146.335
08007,,7.246
08009,,2.619
08011,,2.835
08013,242.047,164.914
08015,3.776,3.514
08017,,2.224
08019,,22.782
08021,0.484,2.272
08023,0.649,2.747
08025,0.267,1.739
08027,0.452,2.06
08029,2.486,4.996
08033,,101.821
08035,20.815,134.722
08037,53.499,24.004
08039,6.334,6.677
08041,143.6,54.251
08043,22.857,5.344
08045,,46.744
08047,,3.443
08049,2.315,9.986
08051,,8.517
08053,,1.156
08055,0.915,2.479
08057,,0.752
08059,129.815,200.504
08061,,2.418
08063,,6.087
08065,,5.463
08067,0.254,19.055
08069,26.86,105.655
08071,1.256,3.713
08073,0.012,4.652
08075,6.492,9.463
08077,21.501,40.995
08079,,0.07
08081,7.516,10.566
08083,,13.343
08085,26.509,13.645
08087,,16.627
08089,1.35,3.099
08091,,2.265
08093,0.065,10.249
08095,,2.547
08097,43.36,26.926
08099,,4.462
08101,175.106,53.496
08103,0.67,22.231
08105,1.645,2.88
08107,9.89,19.953
08109,0.397,0.816
08111,0.357,0.902
08113,,8.568
08115,2.03,2.262
08117,0.142,26.582
08119,,8.931
08121,12.102,4.731
08123,3.952,111.542
08125,0.185,8.153
10001,37.801,13.426
10003,489.317,116.849
10005,145.053,16.764
12001,68.431,127.289
12003,,6.109
12005,194.934,74.588
12007,,7.504
12009,289.222,208.199
12011,3146.705,832.22
12013,,3.881
12015,248.752,113.744
12017,106.423,65.519
12019,17.611,66.799
12021,489.654,281.478
12023,11.247,18.527
12027,25.236,13.969
12029,0.159,6.247
12033,103.336,109.691
12035,107.435,57.166
12037,0.91,10.303
12039,16.04,11.297
12041,1.329,6.168
12043,,6.822
12045,16.385,10.421
12047,,7.462
12049,4.59,13.257
12051,10.054,14.735
12053,124.346,61.572
12055,26.508,37.279
12057,1203.604,650.212
12059,2.531,3.893
12061,50.259,84.714
12063,12.766,12.59
12065,5.829,4.268
12067,0.092,2.136
12069,107.344,101.22
12071,942.39,309.497
12073,43.455,122.45
12075,3.735,12.819
12077,0.658,2.202
12079,2.474,6.59
12081,356.703,187.729
12083,141.753,101.798
12085,120.644,153.709
12086,15526.287,1585.671
12087,161.934,75.464
12089,45.592,51.33
12091,167.0,51.84
12093,0.846,13.087
12095,1094.224,685.088
12097,636.459,152.28
12099,1187.247,1004.236
12101,354.841,192.947
12103,162.161,437.406
12105,341.157,193.959
12107,38.699,31.889
12109,356.47,141.978
12111,127.958,135.981
12113,9.666,49.252
12115,625.502,180.015
12117,369.362,172.844
12119,109.103,54.167
12121,5.518,13.801
12123,5.586,10.714
12125,0.343,2.229
12127,180.873,232.93
12129,3.399,8.572
12131,23.922,49.609
12133,5.575,8.116
13001,,11.213
13003,4.6,2.561
13005,0.119,3.205
13007,,1.36
13009,13.777,11.834
13011,3.995,5.58
13013,87.886,22.493
13015,80.777,33.839
13017,,5.467
13019,4.606,6.408
13023,,4.089
13025,5.197,5.135
13027,0.288,5.62
13029,14.944,11.483
13031,6.799,23.376
13033,,25.042
13035,2.02,8.069
13037,,0.81
13039,2.165,18.446
13043,0.194,2.714
13045,41.744,23.804
13047,10.817,11.933
13049,0.102,5.875
13051,15.651,150.442
13055,11.043,5.835
13057,85.83,79.912
13061,1.488,1.747
13063,110.295,122.888
13065,,2.865
13067,1269.542,310.185
13069,2.499,6.578
13071,1.103,16.804
13073,172.68,39.382
13075,1.111,4.452
13077,18.544,41.022
13079,5.559,3.793
13081,4.569,7.762
13083,4.58,4.0
13085,2.88,10.722
13087,10.665,11.27
13089,1096.894,315.775
13091,0.495,3.977
13093,,5.125
13095,1.056,33.347
13097,,46.274
13099,0.523,4.38
13101,0.365,1.077
13103,20.473,23.625
13105,0.211,6.273
13107,1.91,5.865
13109,,2.592
13111,0.425,6.829
13113,74.965,37.017
13115,19.273,36.433
13117,369.846,88.871
13119,17.286,6.429
13121,850.399,529.029
13123,57.424,10.442
13125,,1.004
13127,20.4,35.503
13129,1.307,18.493
13131,22.305,6.911
13133,6.221,9.541
13135,846.096,386.376
13137,40.144,13.989
13139,41.832,64.385
13141,4.161,6.437
13143,4.865,9.98
13145,36.408,8.548
13147,8.98,6.257
13149,2.166,5.27
13151,35.515,82.228
13153,10.732,42.83
13155,0.39,2.997
13157,82.23,27.623
13159,,6.907
13161,3.356,4.647
13163,0.16,6.662
13165,2.348,2.318
13167,0.585,2.233
13169,7.27,11.689
13171,,5.269
13173,,2.849
13175,12.3,10.106
13177,22.898,13.548
13179,28.89,16.635
13181,5.45,3.153
13183,0.176,5.375
13185,11.045,30.986
13187,17.193,10.377
13189,14.035,4.874
13191,9.165,5.185
13193,0.519,4.328
13195,,7.398
13197,4.863,1.573
13199,6.388,6.54
13201,0.08,3.071
13205,4.782,11.363
13207,21.045,
13209,0.017,2.482
13211,26.098,10.145
13213,,6.173
13217,36.713,33.011
13219,62.344,12.823
13221,,2.934
13223,320.832,49.375
13225,,8.872
13227,11.678,11.064
13229,0.07,4.057
13231,6.991,6.697
13233,,10.92
13235,0.084,3.606
13237,1.248,10.695
13241,8.696,15.406
13243,7.91,2.803
13247,178.216,31.228
13249,6.577,1.469
13251,0.45,5.507
13253,0.019,4.011
13255,20.046,26.436
13257,8.13,8.516
13259,0.676,1.577
13261,9.959,9.543
13263,1.863,3.21
13265,,1.406
13267,2.35,6.935
13269,0.051,2.242
13271,0.376,4.393
13273,,3.536
13275,1.31,20.668
13277,0.014,2.538
13279,6.271,5.998
13281,1.095,4.234
13283,0.762,1.451
13285,4.066,23.007
13287,,3.858
13289,2.423,4.198
13291,7.128,8.569
13293,5.754,10.006
13295,37.868,13.171
13297,94.533,31.725
13299,,11.845
13301,0.539,2.131
13303,15.602,8.641
13305,9.954,10.185
13309,0.148,2.955
13311,7.69,9.631
13313,,26.43
13315,,3.208
13317,0.57,4.434
13319,1.572,4.405
13321,,6.763
15001,490.679,266.517
15007,203.665,120.645
15009,317.414,272.636
16001,0.684,110.576
16003,0.28,3.321
16005,,24.981
16007,,1.411
16009,27.433,3.486
16011,0.052,11.461
16013,7.965,12.978
16015,,4.797
16017,1.6,26.752
16019,0.071,24.331
16021,,5.242
16023,,2.106
16025,,0.825
16027,0.423,40.048
16029,,5.513
16031,0.089,5.242
16033,,1.681
16035,,2.982
16037,0.011,1.66
16039,2.515,7.236
16041,0.153,3.698
16043,0.336,11.058
16045,0.217,9.829
16047,,3.653
16049,,3.78
16051,5.319,2.043
16053,9.985,7.802
16055,,47.684
16057,,8.99
16059,6.545,2.236
16061,,1.499
16063,,1.458
16065,44.15,12.394
16067,,5.204
16069,5.655,13.918
16071,0.741,2.712
16073,,2.975
16075,0.29,6.384
16077,,4.497
16079,0.023,4.058
16081,1.94,6.08
16083,,22.579
16085,,5.987
16087,,5.05
17001,5.565,8.92
17003,0.225,1.618
17005,0.371,3.201
17007,7.469,11.102
17009,,1.262
17011,,5.71
17013,,1.152
17015,,2.885
17017,0.691,2.173
17019,32.812,38.847
17021,0.356,3.827
17023,,2.861
17025,,2.588
17027,0.688,6.52
17029,1.858,8.209
17031,3397.806,904.573
17033,,4.829
17035,0.23,1.316
17037,36.679,24.072
17039,,4.634
17041,1.677,4.126
17043,489.109,73.999
17045,0.5,3.626
17047,0.012,1.391
17049,0.995,4.236
17051,,2.124
17053,0.93,3.198
17055,2.605,3.43
17057,1.0,6.799
17059,,0.89
17061,,2.102
17063,4.026,14.867
17065,0.054,0.935
17067,0.26,3.559
17069,,0.664
17071,0.175,2.006
17073,9.856,8.07
17075,0.159,5.237
17077,4.26,11.932
17079,,3.642
17081,11.5,2.949
17083,2.83,2.948
17085,0.399,6.115
17087,0.93,1.29
17089,404.66,125.537
17091,49.055,19.938
17093,32.354,25.515
17095,6.479,9.893
17097,534.099,255.553
17099,,24.08
17101,0.523,1.053
17103,0.153,5.94
17105,,8.028
17107,0.877,3.877
17109,8.485,5.594
17111,97.556,76.114
17113,1.712,34.266
17115,0.33,20.896
17117,0.345,4.9
17119,1.87,32.593
17121,2.615,4.35
17123,0.235,2.855
17125,,3.457
17127,0.28,3.185
17129,0.05,4.119
17131,5.82,3.82
17133,9.06,7.78
17135,,4.933
17137,0.079,7.693
17139,,2.62
17141,,11.818
17143,78.75,26.349
17145,0.4,3.521
17147,3.893,4.756
17149,,2.915
17151,0.324,0.71
17153,5.418,1.941
17155,,1.549
17157,16.452,6.258
17159,,1.622
17161,107.87,33.469
17163,79.525,31.696
17165,,2.839
17167,72.515,29.592
17169,,1.521
17171,0.003,1.943
17173,0.038,4.307
17175,0.082,1.202
17177,9.95,8.822
17179,0.689,12.556
17181,14.92,3.658
17183,0.178,13.051
17185,0.208,2.121
17187,,2.932
17189,0.895,3.404
17191,,1.34
17193,,1.714
17195,,9.77
17197,461.364,192.255
17199,25.007,15.801
17201,128.993,38.754
17203,1.022,4.719
18001,49.656,9.717
18003,72.777,73.381
18005,83.324,14.541
18007,,3.256
18009,,3.056
18011,90.209,
18013,2.18,6.165
18015,,3.947
18017,31.592,11.772
18019,80.294,19.265
18021,1.041,4.752
18023,7.475,7.114
18025,0.435,27.942
18027,28.466,11.607
18029,31.086,7.845
18031,29.992,27.055
18033,2.649,10.564
18035,37.736,22.579
18037,1.0,7.433
18039,46.438,36.965
18041,6.462,3.956
18045,,3.9
18047,1.825,3.772
18049,14.318,0.974
18051,29.749,17.602
18053,2.889,13.638
18055,10.518,5.167
18057,190.494,59.074
18059,14.475,12.992
18061,7.46,6.515
18063,140.279,28.167
18065,40.005,8.695
18067,1.404,16.735
18069,0.109,6.778
18071,28.153,6.36
18073,3.0,23.617
18075,8.677,6.645
18077,2.725,7.991
18079,3.236,4.908
18081,6.706,28.092
18083,143.689,11.186
18085,6.011,12.274
18087,3.711,6.538
18089,128.601,64.389
18091,8.788,32.408
18093,8.459,5.602
18095,9.077,55.189
18099,,48.488
18101,0.462,1.783
18103,11.614,6.474
18105,23.648,29.959
18107,21.102,10.032
18109,8.709,8.041
18111,10.0,5.793
18113,1.69,18.353
18115,,1.279
18117,2.311,3.041
18119,2.095,3.35
18121,1.471,3.297
18123,8.087,4.907
18125,,15.574
18127,2.525,38.235
18129,1.803,0.054
18131,6.574,4.022
18133,15.279,6.344
18135,1.661,21.451
18137,0.187,22.338
18139,4.686,22.017
18141,52.975,56.749
18143,1.403,4.807
18145,,5.707
18147,0.258,0.684
18149,13.72,4.504
18151,0.34,8.224
18153,1.427,22.975
18155,1.02,2.371
18157,1.849,32.11
18159,15.444,35.167
18161,,2.992
18163,40.5,60.702
18165,6.716,7.272
18167,15.431,31.091
18169,,7.168
18171,,3.601
18173,18.96,18.77
18175,19.401,22.619
18177,10.748,16.795
18179,,3.946
18181,22.24,6.896
18183,14.411,10.897
19001,24.447,8.386
19003,3.12,3.427
19005,,5.942
19007,0.878,3.397
19009,0.384,4.503
19011,,9.375
19013,31.535,35.784
19015,3.438,9.749
19017,2.62,7.355
19019,26.797,6.852
19021,23.666,9.289
19023,3.241,6.232
19025,,6.313
19027,,7.516
19029,40.596,8.69
19031,,7.516
19033,10.62,15.817
19035,0.635,5.489
19037,0.036,5.114
19039,6.889,5.268
19041,4.81,7.665
19043,1.601,8.133
19045,4.297,16.266
19047,25.972,9.679
19049,11.808,26.538
19051,5.993,4.055
19053,15.936,4.18
19055,29.839,10.306
19057,0.73,12.047
19059,26.657,9.543
19061,9.45,30.811
19063,0.303,5.153
19065,0.033,7.501
19067,13.142,5.884
19069,26.286,7.565
19071,0.685,4.578
19073,19.432,6.478
19075,34.894,5.506
19077,2.376,6.347
19079,37.013,9.259
19081,10.288,6.503
19083,22.476,7.603
19085,0.293,7.66
19087,10.944,7.355
19089,27.787,5.847
19091,,4.959
19093,,2.124
19095,5.568,8.126
19097,0.201,8.149
19099,9.185,13.404
19101,33.534,6.703
19103,10.97,52.731
19105,,6.881
19107,,5.754
19109,21.496,8.47
19111,5.47,10.358
19113,24.47,60.339
19115,5.17,5.08
19117,9.763,4.037
19119,4.5,7.477
19121,13.4,7.286
19123,22.16,9.655
19125,2.36,12.837
19127,1.14,13.64
19129,0.645,7.674
19131,32.375,
19133,0.125,5.038
19135,6.846,6.533
19137,12.201,7.151
19139,14.26,16.316
19141,,6.596
19143,2.284,3.902
19145,0.972,6.822
19147,16.924,7.122
19149,6.489,11.153
19151,1.859,6.444
19153,285.386,209.763
19155,7.56,42.48
19157,5.99,7.318
19159,22.96,4.142
19161,0.13,5.155
19163,29.5,45.414
19165,6.428,4.727
19167,10.534,8.514
19169,32.151,26.601
19171,,8.325
19173,6.111,3.003
19175,19.076,6.17
19177,3.591,3.145
19179,4.36,9.752
19181,0.358,13.175
19183,33.974,10.043
19185,8.908,4.498
19187,16.363,12.931
19189,26.946,6.176
19191,6.695,9.308
19193,9.202,31.303
19195,15.989,6.738
19197,5.07,6.77
20001,29.8,10.735
20003,3.736,1.435
20005,,7.075
20007,7.62,5.94
20009,1.178,10.394
20011,7.872,6.84
20013,,39.027
20015,16.291,25.753
20017,3.629,3.149
20019,2.782,3.932
20021,2.452,8.203
20023,,3.736
20025,,3.376
20027,20.239,7.286
20029,,5.492
20031,5.77,21.629
20033,3.706,
20035,1.535,11.953
20037,3.609,14.723
20039,0.784,3.199
20041,2.606,10.999
20043,0.805,5.3
20045,20.34,54.457
20047,,4.147
20049,,2.387
20051,3.61,15.511
20053,2.055,5.195
20055,5.63,20.528
20057,16.24,14.982
20059,4.806,15.299
20061,33.76,17.267
20063,,4.376
20065,,4.417
20067,17.835,18.303
20069,,6.535
20073,0.001,10.307
20075,1.611,5.804
20077,,7.843
20079,12.366,11.026
20081,,8.487
20083,3.45,5.478
20085,0.148,8.639
20087,4.607,12.637
20089,,4.956
20091,701.229,251.547
20093,0.525,10.759
20095,4.09,7.135
20097,1.691,5.698
20099,29.38,8.991
20101,,6.748
20103,17.58,22.513
20105,,4.94
20107,0.111,10.432
20109,2.445,1.704
20111,22.189,18.727
20113,5.09,14.96
20115,2.76,9.971
20117,0.131,7.238
20119,,5.492
20121,21.576,19.678
20123,9.55,7.835
20125,1.237,16.351
20127,2.0,4.235
20129,1.625,9.738
20131,,7.553
20133,32.7,7.709
20135,,5.029
20137,0.32,4.185
20139,0.81,8.284
20141,,3.491
20143,,6.683
20145,9.62,5.726
20147,3.181,5.727
20149,11.578,14.305
20151,1.395,9.849
20153,,2.684
20155,28.908,28.022
20157,0.398,6.714
20159,0.775,7.306
20161,7.49,25.33
20163,,6.363
20165,6.91,4.607
20167,3.185,7.17
20169,0.228,24.467
20171,21.65,6.277
20173,189.765,162.791
20175,16.379,11.244
20177,93.632,84.373
20179,1.333,5.211
20181,5.955,4.89
20183,1.75,9.91
20185,,5.512
20187,10.31,8.5
20189,,15.2
20191,0.946,13.974
20193,,3.981
20195,3.003,4.522
20197,2.57,5.497
20199,3.695,3.516
20201,8.295,7.188
20203,1.455,3.335
20205,11.675,5.673
20207,0.152,4.132
21001,20.029,1.028
21003,21.345,0.844
21005,43.0,2.166
21007,0.195,1.666
21009,16.979,3.87
21011,58.0,0.49
21013,14.411,1.184
21015,17.475,14.241
21017,,1.675
21019,35.351,4.547
21021,167.692,2.246
21023,0.85,1.277
21025,4.481,0.485
21027,214.61,1.204
21029,5.425,5.609
21033,0.62,0.659
21035,0.355,2.965
21037,20.854,10.185
21039,,0.7
21041,,0.669
21043,11.63,0.657
21045,,0.443
21047,108.657,6.483
21049,34.033,2.446
21051,7.2,0.474
21053,15.2,0.327
21055,5.909,0.532
21057,,0.151
21059,,9.793
21061,13.427,0.901
21063,2.639,0.204
21065,8.795,0.448
21069,18.724,1.007
21071,27.293,0.185
21073,15.84,6.156
21075,6.0,0.429
21077,175.125,0.64
21079,14.485,0.745
21081,5.66,1.947
21083,20.78,1.795
21085,15.201,0.89
21087,13.798,0.417
21089,0.894,4.471
21091,652.605,0.374
21093,148.305,7.473
21095,,3.843
21097,4.5,1.007
21099,17.415,0.865
21101,412.898,3.638
21103,,1.375
21105,,0.38
21107,17.01,4.335
21109,8.455,0.291
21113,6.842,2.972
21115,5.52,0.893
21117,639.12,16.939
21119,8.18,1.361
21121,49.925,1.255
21123,17.235,1.818
21125,96.878,2.031
21127,13.505,0.966
21129,,1.163
21131,,0.626
21133,8.58,0.909
21135,13.0,0.753
21137,,0.97
21139,8.345,0.831
21141,9.975,1.958
21143,1.42,0.845
21145,21.975,4.322
21147,1.924,1.272
21149,22.18,1.296
21151,34.161,2.309
21153,6.183,0.527
21155,192.76,2.97
21157,403.17,4.418
21159,0.452,0.484
21161,,0.778
21163,4.77,3.133
21165,,0.228
21167,24.65,1.534
21169,2.485,0.484
21171,4.76,0.355
21173,7.665,1.559
21175,,0.357
21177,13.765,1.659
21179,250.645,4.205
21181,,0.364
21183,87.955,0.691
21185,230.193,5.899
21187,66.011,0.717
21189,0.6,0.389
21191,11.334,1.174
21193,173.042,1.339
21195,41.814,8.664
21197,,0.489
21199,38.238,5.713
21201,2.634,0.104
21203,18.193,0.374
21205,,0.885
21207,20.892,1.496
21209,40.148,3.23
21211,,3.853
21213,34.182,1.458
21215,,1.022
21217,46.836,1.086
21219,6.14,0.539
21221,17.768,1.53
21223,,0.346
21225,7.527,0.883
21227,63.77,14.27
21229,14.855,0.472
21231,9.77,1.133
21233,44.46,1.149
21235,19.065,1.256
21237,14.06,0.169
21239,,1.707
22001,18.178,13.761
22003,169.448,39.686
22005,12.362,32.459
22007,0.539,8.113
22009,2.633,1.148
22011,20.197,12.816
22013,9.579,7.719
22015,70.221,24.041
22017,53.665,80.641
22019,28.711,117.329
22021,1.612,9.614
22023,1.318,20.572
22025,0.843,1.285
22027,1.559,3.479
22029,15.895,5.237
22031,0.401,13.868
22035,29.197,3.229
22037,0.216,4.004
22039,27.501,9.188
22041,5.659,7.11
22043,,4.345
22045,48.093,19.251
22047,18.853,17.726
22049,4.203,12.823
22051,482.334,260.218
22053,19.334,10.363
22057,63.022,91.972
22059,1.021,6.485
22061,6.445,12.804
22063,21.086,32.733
22065,0.087,8.8
22067,,5.386
22069,15.286,11.254
22073,9.074,54.689
22075,117.339,21.815
22077,9.843,12.468
22079,5.17,21.17
22081,,7.534
22083,2.841,4.817
22085,2.706,8.638
22087,91.576,27.133
22089,17.535,32.865
22091,10.975,4.657
22093,30.685,32.788
22095,121.903,29.87
22097,80.894,20.642
22099,24.098,18.432
22101,43.305,32.217
22103,88.992,127.638
22105,235.161,35.022
22107,1.639,3.614
22111,2.813,5.707
22113,19.344,22.225
22115,10.848,8.778
22117,7.954,6.603
22119,3.94,14.068
22121,7.027,18.449
22123,0.1,1.858
22125,18.067,5.834
22127,1.94,4.216
23001,,8.485
23003,,6.691
23005,37.903,27.645
23007,0.427,6.468
23009,0.3,5.53
23011,,10.131
23013,1.82,8.322
23015,5.56,9.504
23017,,5.542
23019,,13.68
23021,,3.473
23023,5.56,8.186
23025,16.63,11.783
23027,,6.185
23029,,5.452
23031,4.9,16.655
24001,80.646,43.497
24003,1759.289,732.821
24005,3293.159,950.077
24009,136.752,149.974
24011,36.568,25.312
24013,353.968,204.212
24015,229.438,105.872
24017,342.117,229.756
24019,22.086,29.332
24021,719.808,359.324
24023,74.513,48.837
24025,678.893,298.996
24027,2295.913,615.277
24029,24.52,29.986
24031,7026.636,2081.378
24033,1472.74,989.211
24035,146.378,66.502
24037,310.808,112.872
24039,39.726,16.024
24041,44.31,37.538
24043,190.778,123.136
24045,128.768,63.378
24047,106.423,134.542
25001,24.855,3.123
25005,0.924,9.973
25007,1.44,1.369
25021,14.213,5.999
25023,1.943,1.5
26001,0.04,4.731
26003,2.725,2.997
26005,25.95,28.887
26007,1.37,8.674
26009,11.7,13.157
26011,1.381,5.388
26013,1.455,3.354
26015,35.775,16.249
26017,67.044,31.133
26019,6.292,9.85
26021,50.382,45.919
26023,38.541,10.575
26025,60.437,26.775
26027,34.94,13.717
26029,,16.753
26031,1.985,10.295
26033,10.0,11.027
26035,3.127,6.501
26037,1.628,15.385
26039,9.417,5.236
26041,4.41,8.623
26043,21.578,9.814
26045,54.42,29.38
26047,22.127,15.426
26049,53.851,77.389
26051,4.266,8.169
26053,0.598,4.073
26055,15.176,31.399
26057,15.799,10.644
26059,12.401,9.243
26061,2.967,8.555
26063,14.938,14.592
26065,92.768,72.113
26067,1.531,8.078
26069,1.625,6.332
26071,14.237,6.238
26073,17.706,15.569
26075,70.295,25.636
26077,42.57,59.554
26079,1.92,7.37
26081,142.575,118.589
26083,1.766,1.295
26085,7.703,6.932
26087,11.755,13.725
26089,12.962,11.593
26091,6.16,18.971
26093,61.457,30.22
26095,3.951,2.681
26097,2.612,6.498
26099,583.36,115.175
26101,1.74,9.977
26103,15.289,21.031
26105,0.6,13.593
26107,0.204,8.723
26109,0.032,6.963
26111,56.513,30.977
26113,0.225,4.513
26115,93.55,39.182
26117,12.5,9.969
26119,,4.821
26121,173.098,28.342
26123,19.468,10.674
26125,718.348,225.793
26127,3.311,12.814
26129,5.992,6.313
26131,,4.007
26133,6.755,6.461
26135,0.663,4.113
26137,1.837,10.836
26139,168.909,49.984
26141,1.114,4.843
26143,3.618,10.688
26145,103.899,40.37
26147,70.184,45.729
26149,3.961,14.668
26151,33.18,16.24
26153,24.438,2.701
26155,31.753,17.068
26157,28.598,14.333
26159,18.155,21.741
26161,109.097,90.311
26163,790.307,347.53
26165,6.175,9.705
27001,,11.561
27003,186.555,128.863
27005,5.178,20.697
27007,12.205,20.407
27009,2.417,22.548
27011,4.67,4.518
27013,26.195,30.122
27015,0.19,12.226
27017,11.33,23.828
27019,45.378,50.843
27021,0.535,21.29
27023,0.581,8.75
27025,48.294,32.69
27027,13.92,24.395
27029,0.158,6.908
27031,19.95,7.012
27033,1.073,15.425
27035,18.424,37.525
27037,,132.104
27039,2.932,11.668
27041,32.537,25.541
27043,13.145,9.697
27045,18.628,9.254
27047,18.605,20.929
27049,,29.9
27051,5.275,2.62
27053,1184.93,771.824
27055,15.38,11.815
27057,21.651,14.751
27059,5.945,16.98
27061,20.715,37.699
27063,29.918,11.486
27065,3.513,8.572
27067,39.249,30.864
27069,2.187,3.751
27071,11.123,5.526
27073,5.935,2.949
27075,2.618,8.453
27077,,3.031
27079,15.86,15.743
27081,5.096,5.998
27083,9.171,14.132
27085,14.074,18.84
27087,0.936,4.186
27089,,5.468
27091,,11.945
27093,,13.987
27095,7.29,14.927
27097,,17.282
27099,14.656,18.825
27101,7.393,7.726
27103,11.546,18.072
27105,15.85,12.636
27107,,5.38
27109,175.26,92.12
27111,44.995,36.548
27113,18.071,8.85
27115,38.363,15.896
27117,8.068,4.008
27119,23.51,21.765
27121,4.531,9.209
27123,240.324,311.819
27125,,2.277
27127,8.217,10.903
27129,7.809,13.638
27131,32.439,22.966
27133,1.487,6.588
27135,3.231,6.597
27137,131.608,128.012
27139,129.476,64.321
27141,10.47,46.095
27143,5.379,11.935
27145,18.135,71.978
27147,13.88,21.69
27149,2.007,7.043
27151,8.925,9.632
