county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
31163,Sherman County,NE,3090,21242.0752708988,5628.87892547121,25094.878016362272,51965.83221273228
31165,Sioux County,NE,1274,7878.3123318711905,493.907963741927,13207.24357590452,21579.463871517637
31167,Stanton County,NE,6022,41977.520233046,11991.628205335901,325691.44168243976,379660.59012082167
31169,Thayer County,NE,5163,54287.9614328342,4090.47686148642,41974.09089555533,100352.52918987596
31171,Thomas County,NE,675,4536.84080521937,2708.79418099843,4107.91438176543,11353.549367983229
31173,Thurston County,NE,6989,35744.5260096891,29785.7158665647,27826.51832535411,93356.76020160792
31175,Valley County,NE,4240,28016.4579800726,19445.442589518498,40640.94718972538,88102.84775931647
31177,Washington County,NE,20338,105766.916303659,65849.4637677156,3610648.6940509207,3782265.0741222952
31179,Wayne County,NE,9414,45312.8520207942,64249.888763945106,53022.53421164851,162585.27499638783
31181,Webster County,NE,3665,22853.6431994748,5282.618521288709,27789.15920347777,55925.42092424128
31183,Wheeler County,NE,805,5991.057194142741,6763.07251183267,11270.284058257066,24024.41376423248
31185,York County,NE,13842,104438.92689649,34125.0177723971,148140.35593435098,286704.30060323805
32001,Churchill County,NV,24148,81782.8806852814,87697.366587906,455955.6847723608,625435.9320455482
32003,Clark County,NV,2070153,8912927.28278682,5635196.232906921,4680401.991534679,19228525.50722842
32005,Douglas County,NV,47426,148973.288703961,183353.700963473,110245.2926307462,442572.2822981802
32007,Elko County,NV,52029,176153.084502648,167092.204271269,994423.3138617066,1337668.6026356237
32009,Esmeralda County,NV,1069,3916.35448130934,7413.12757949687,157243.7636844007,168573.24574520692
32011,Eureka County,NV,1730,7310.8745180599,9334.09428676849,308490.2833285409,325135.25213336933
32013,Humboldt County,NV,17091,55823.82781316539,49664.541400951995,1055575.0996966497,1161063.468910767
32015,Lander County,NV,5907,18403.105764598,13912.2782421676,112498.49528400313,144813.87929076873
32017,Lincoln County,NV,5155,26729.9518607536,7978.34646217862,119272.45025931225,153980.74858224447
32019,Lyon County,NV,51897,148871.147991781,129290.363682123,857160.8529335305,1135322.3646074345
32021,Mineral County,NV,4519,17207.7577053083,11007.5081265381,110241.45528153304,138456.72111337943
32023,Nye County,NV,43198,232460.77159195102,166501.051120495,593817.0666480913,992778.8893605373
32027,Pershing County,NV,6690,17849.4706748104,11034.144534975,341248.5987661323,370132.2139759177
32029,Storey County,NV,3941,14128.744163323701,104779.36607919,4246.6587152117245,123154.76895772544
32031,Washoe County,NV,439914,1444584.99363143,2314440.88432525,2141831.911584728,5900857.789541408
32033,White Pine County,NV,9893,55465.07125764,24854.502893340497,494388.6720845639,574708.2462355443
32510,Carson City,NV,54412,148265.649352054,0.0,87405.89040261027,235671.53975466426
33001,Belknap County,NH,60392,179580.37538557,162183.38264286699,42523.70205997059,384287.46008840756
