fips,treated,census17M,acfr,acfr_fy,acfr_qc,v2,v2_fy,v2_qc
37035,1,102.45,,,none,139474617.0,2025.0,ok
37039,1,17.21,,,none,28110190.0,2024.0,ok
37069,1,16.71,,,none,74166149.0,2025.0,ok
37077,0,39.43,,,none,55561841.0,2025.0,ok
37087,0,47.69,,,none,64453360.0,2025.0,ok
37105,0,44.53,,,none,70117121.0,2025.0,ok
37133,0,93.51,,,none,143734651.0,2025.0,ok
37147,0,91.42,,,none,147092307.0,2025.0,ok
37149,0,16.69,,,none,24324564.0,2025.0,ok
37161,1,41.52,,,none,56986159.0,2025.0,ok
37193,0,40.1,,,none,48171906.0,2025.0,ok
38009,0,3.67,4197528.0,2023.0,ok,,,none
38015,0,20.52,,,none,25187609.0,2024.0,ok
38021,1,3.82,3438157.0,2023.0,ok,,,none
38035,1,22.38,24503793.0,2024.0,ok,,,none
38053,0,7.63,,,none,,,none
38059,0,14.51,,,none,12272055.0,2024.0,ok
38061,0,4.12,1635689.0,2023.0,INCONSISTENT,,,none
38067,0,4.45,3318201.0,2023.0,ok,,,none
38077,0,8.48,,,none,9474891.0,2023.0,ok
38083,0,11.23,,,none,,,none
38089,0,16.38,,,none,,,none
38093,1,9.53,9043665.0,2024.0,ok,,,none
38101,0,20.36,,,none,,,none
38105,1,14.13,,,none,,,none
39003,0,11.47,,,none,,,none
39007,0,16.38,,,none,14677.0,2023.0,div1000_low
39013,0,16.57,,,none,,,none
39045,1,27.08,49838059.0,2023.0,ok,,,none
39049,1,416.88,531792.0,2023.0,div1000_low,,,none
39055,0,31.16,,,none,33259437.0,2023.0,ok
39063,1,11.87,,,none,17224745.0,2024.0,ok
39083,0,16.52,,,none,,,none
39085,0,48.08,,,none,,,none
39089,1,27.11,37631504.0,2023.0,ok,,,none
39093,0,49.74,,,none,,,none
39095,0,98.36,,,none,124986712.0,2024.0,ok
39101,0,2.77,,,none,,,none
39103,0,30.48,,,none,,,none
39107,0,2.37,,,none,,,none
39111,1,2.67,,,none,9124174.0,2020.0,ok
39133,0,26.89,,,none,34625742.0,2024.0,ok
39141,0,11.5,,,none,,,none
39157,0,11.05,,,none,,,none
39159,1,16.63,19640539.0,2023.0,ok,,,none
39163,0,2.55,,,none,,,none
40035,0,7.63,,,none,,,none
40085,0,8.54,,,none,,,none
40101,1,6.91,,,none,,,none
40147,0,6.02,,,none,,,none
41003,0,26.94,,,none,,,none
41007,0,12.66,,,none,18791195.0,2024.0,ok
41009,0,12.51,,,none,15728903.0,2024.0,ok
41011,0,10.56,,,none,13145204.0,2024.0,ok
41013,1,7.87,,,none,14782475.0,2025.0,ok
41019,0,10.0,,,none,13188783.0,2024.0,ok
41031,0,7.49,,,none,,,none
41033,0,5.83,15003041.0,2024.0,ok,,,none
41035,0,12.92,,,none,16790260.0,2024.0,ok
41043,0,33.84,,,none,50471792.0,2024.0,ok
41045,0,5.77,,,none,8804604.0,2025.0,ok
41047,0,68.2,,,none,,,none
41049,1,7.55,,,none,15629606.0,2025.0,ok
41053,0,14.01,,,none,16746991.0,2024.0,ok
41057,0,14.87,,,none,9381134.0,2025.0,ok
41059,1,15.0,,,none,,,none
41065,1,11.85,,,none,10296406.0,2021.0,ok
41067,1,199.85,,,none,,,none
42007,1,48.17,57442473.0,2023.0,ok,,,none
42015,0,11.47,,,none,,,none
42021,0,43.54,,,none,,,none
42035,0,12.18,,,none,14162686.0,2024.0,ok
42045,0,171.94,,,none,,,none
42049,0,73.24,,,none,,,none
42055,0,39.17,,,none,47478434.0,2024.0,ok
42069,0,80.16,,,none,,,none
42079,1,117.0,,,none,,,none
42083,0,11.03,,,none,,,none
42089,0,46.53,,,none,,,none
42121,1,11.5,,,none,134777939.0,2024.0,ok
45013,0,97.75,,,none,166133325.0,2025.0,ok
45015,1,28.77,48524362.0,2023.0,ok,,,none
45021,0,11.81,,,none,,,none
45033,0,11.05,,,none,11062204.0,2024.0,ok
45039,0,26.26,,,none,30383837.0,2024.0,ok
45043,0,51.9,,,none,,,none
45057,0,29.7,,,none,75276797.0,2025.0,ok
45063,0,112.7,,,none,145514870.0,2024.0,ok
45077,0,29.52,,,none,63098879.0,2024.0,ok
45081,0,11.88,,,none,,,none
45083,1,104.28,,,none,,,none
45087,1,12.22,,,none,13989380.0,2024.0,ok
45091,1,97.44,,,none,169194784.0,2025.0,ok
46057,0,2.32,,,none,,,none
46077,0,2.29,,,none,,,none
46085,0,2.26,,,none,,,none
46119,1,2.33,,,none,,,none
47001,0,31.48,,,none,,,none
47003,0,13.82,,,none,,,none
47009,0,51.2,,,none,,,none
47013,1,13.59,,,none,,,none
47015,0,3.72,,,none,,,none
47019,0,14.57,,,none,,,none
47021,0,22.07,,,none,,,none
47025,1,13.73,,,none,,,none
47031,0,23.59,,,none,,,none
47033,0,4.72,,,none,,,none
47035,1,20.49,22988472.0,2023.0,ok,,,none
47039,0,3.56,,,none,,,none
47043,0,28.01,,,none,,,none
47047,0,10.19,,,none,,,none
47051,0,20.49,,,none,,,none
47055,0,10.61,,,none,,,none
47061,0,4.6,,,none,,,none
47087,0,4.59,,,none,,,none
47091,0,3.63,,,none,,,none
47097,0,10.48,,,none,,,none
47105,1,27.84,,,none,,,none
47107,1,10.99,,,none,,,none
47113,1,48.48,,,none,,,none
47121,1,3.53,3943824.0,2024.0,ok,,,none
47123,0,18.82,,,none,,,none
47125,1,114.85,,,none,,,none
47141,0,43.75,,,none,,,none
47143,0,14.23,,,none,,,none
47151,1,5.04,5347352.0,2023.0,ok,,,none
47153,0,4.92,,,none,,,none
47155,0,96.7,,,none,,,none
47161,0,5.47,,,none,,,none
47163,0,56.38,,,none,,,none
47165,1,85.64,59378711.0,2024.0,ok,,,none
47173,1,4.74,,,none,,,none
47189,0,53.11,,,none,,,none
48003,1,25.71,,,none,,,none
48011,0,1.62,1502967.0,2021.0,ok,,,none
48015,0,13.41,,,none,4591726.0,2025.0,INCONSISTENT
48019,0,14.13,,,none,17845865.0,2023.0,ok
48023,0,1.33,,,none,,,none
48037,0,18.25,27324751.0,2024.0,ok,,,none
48043,0,2.25,,,none,4721805.0,2024.0,ok
48045,1,1.68,,,none,,,none
48053,0,19.34,,,none,43870014.0,2024.0,ok
48067,1,9.04,,,none,,,none
48071,0,43.81,,,none,66843230.0,2024.0,ok
48073,0,14.74,,,none,21684641.0,2024.0,ok
48075,1,2.28,,,none,,,none
48083,0,3.32,,,none,,,none
48087,0,3.29,,,none,,,none
48091,0,43.63,,,none,90668592.0,2025.0,ok
48097,0,17.54,,,none,23303798.0,2025.0,ok
48099,0,12.06,,,none,15258846.0,2022.0,ok
48103,1,9.02,,,none,,,none
48105,0,14.11,,,none,,,none
48107,0,1.37,,,none,196620.0,2022.0,INCONSISTENT
48109,1,3.27,,,none,6389648.0,2024.0,ok
48123,0,33.73,,,none,,,none
48125,1,2.05,,,none,,,none
48135,1,46.39,55650519.0,2022.0,ok,,,none
48139,1,35.07,69448640.0,2022.0,ok,,,none
48151,0,0.9,,,none,,,none
48153,0,2.31,,,none,,,none
48165,0,24.97,,,none,,,none
48173,1,0.31,,,none,,,none
48179,0,9.01,,,none,9288475.0,2022.0,ok
48181,0,35.51,,,none,65077353.0,2025.0,ok
48187,0,40.57,,,none,65166655.0,2023.0,ok
48197,0,0.93,,,none,,,none
