county_fips,prop_tax_2017,capex_2017,lt_debt_2017,exp_curr_2017,n_dc_2017,first_dc_year,is_dc_host,dc_intensity,dc_per_capex,dc_per_debt
48221,95.328,14.814000000000002,239.762,95.02299999999998,0,2022.0,0,0.0,0.0,0.0
48223,41.748000000000005,16.784,134.106,173.84100000000004,0,,0,0.0,0.0,0.0
48225,26.069,2.108,59.863,45.191,0,,0,0.0,0.0,0.0
48227,59.979,0.284,374.561,116.02699999999996,0,,0,0.0,0.0,0.0
48229,5.6240000000000006,0.221,3.73,9.815999999999995,0,,0,0.0,0.0,0.0
48231,117.558,26.356000000000005,405.428,313.046,0,,0,0.0,0.0,0.0
48233,45.861,4.164,145.797,82.42599999999999,0,,0,0.0,0.0,0.0
48235,17.250999999999998,0.203,0.0,7.637999999999999,0,,0,0.0,0.0,
48237,23.414,0.546,59.602999999999994,19.583,0,,0,0.0,0.0,0.0
48239,31.614,4.319,118.115,65.71300000000001,0,,0,0.0,0.0,0.0
48241,49.267,8.6,106.995,77.65900000000002,0,,0,0.0,0.0,0.0
48243,4.102,2.752,0.0,5.75,0,,0,0.0,0.0,
48245,488.637,93.667,1422.786,645.865,0,,0,0.0,0.0,0.0
48247,10.629,6.039,13.604,18.892999999999994,0,,0,0.0,0.0,0.0
48249,40.469,0.428,91.235,106.178,0,,0,0.0,0.0,0.0
48251,259.488,90.93800000000002,1171.949,376.907,0,,0,0.0,0.0,0.0
48253,17.708000000000002,0.5219999999999999,41.503,46.017999999999994,0,,0,0.0,0.0,0.0
48255,72.834,25.652000000000005,90.521,41.56699999999999,0,,0,0.0,0.0,0.0
48257,183.492,97.698,862.927,331.309,0,,0,0.0,0.0,0.0
48259,116.648,40.498999999999995,349.496,105.58299999999998,0,,0,0.0,0.0,0.0
48261,10.082,0.682,3.049,2.3839999999999995,0,,0,0.0,0.0,0.0
48263,7.586,0.019,0.0,6.010999999999999,0,,0,0.0,0.0,
48265,75.13,4.9430000000000005,108.076,84.95799999999998,0,,0,0.0,0.0,0.0
48267,6.43,0.061,7.582,10.791,0,,0,0.0,0.0,0.0
48269,4.836,0.0,2.005,3.487,0,,0,0.0,,0.0
48271,6.7780000000000005,1.801,5.014,13.325999999999995,0,,0,0.0,0.0,0.0
48273,37.233,7.304,108.999,72.562,0,,0,0.0,0.0,0.0
48275,7.229,4.116,16.023,12.05,0,2025.0,0,0.0,0.0,0.0
48277,65.836,10.891,129.481,137.596,0,2025.0,0,0.0,0.0,0.0
