county_fips,role,status,tier,baseline,baseline_fy,base_src,post,post_fy,post_src,cagr,hirisk,v2_2017
32031,treated,USABLE,EXPANDED,190723000.0,2017.0,CONFIRMED,581360238.0,2024.0,v2,0.1725973102661178,False,
35027,control,USABLE,CENSUS_TRUST,11063000.0,2017.0,SINGLE_census,21727682.0,2025.0,v2,0.08803423462900861,False,
35039,control,CONFLICT,,11755000.0,,,,,,,,9535181.0
35055,control,USABLE,PRIMARY,11452952.0,2017.0,VERIFIED,14047479.0,2023.0,verified,0.03461830640649155,False,
35061,treated,USABLE,PRIMARY,12454975.0,2017.0,VERIFIED,17821608.0,2024.0,verified,0.052517066599529816,False,
36007,control,USABLE,EXPANDED,74915000.0,2017.0,CONFIRMED,76867626.0,2024.0,v2,0.0036825729391971596,False,
36063,treated,USABLE,EXPANDED,86278000.0,2017.0,CONFIRMED,107575183.0,2024.0,v2,0.03201838001543433,False,
36075,control,CONFLICT,,50770000.0,,,,,,,,65092744.0
36079,control,USABLE,EXPANDED,44490000.0,2017.0,CONFIRMED,50765232.0,2024.0,v2,0.019028384832264766,False,
36089,treated,USABLE,EXPANDED,48809000.0,2017.0,CONFIRMED,54338150.0,2024.0,v2,0.015448373606265386,False,
36093,control,SINGLE_census_nopost,,73022000.0,,,,,,,,
36109,control,USABLE,CENSUS_TRUST,44271000.0,2017.0,SINGLE_census,54146801.0,2024.0,v2,0.02918477529453245,False,
36111,control,USABLE,EXPANDED,79993000.0,2017.0,CONFIRMED,75445725.0,2024.0,v2,-0.008325946746757018,False,
37009,control,USABLE,CENSUS_TRUST,17487000.0,2017.0,SINGLE_census,24146709.0,2025.0,v2,0.041160851184289804,False,
37011,control,USABLE,EXPANDED,16852000.0,2017.0,CONFIRMED,25557548.0,2025.0,v2,0.05343675444021345,False,
37019,control,USABLE,EXPANDED,119820000.0,2017.0,CONFIRMED,182924569.0,2025.0,v2,0.054308822307096216,False,
37023,control,USABLE,EXPANDED,48236000.0,2017.0,CONFIRMED,66626073.0,2024.0,v2,0.04722256110273859,False,
37027,treated,USABLE,PRIMARY,46110069.0,2017.0,VERIFIED,59018289.0,2023.0,verified,0.041993813368368604,False,
37035,treated,USABLE,PRIMARY,102643115.0,2017.0,VERIFIED,135725988.0,2024.0,verified,0.040718590772915286,False,
37039,treated,USABLE,PRIMARY,18474110.0,2017.0,VERIFIED,21790492.0,2022.0,verified,0.03357192060505265,False,
37069,treated,USABLE,PRIMARY,46788595.0,2017.0,VERIFIED,62687638.0,2023.0,verified,0.049962166636310146,False,
