county_fips,name,dc_class,first_op_year,dom_oy,cap50_oy,yr_shift
48067,Cass County,crypto,2022.0,2022.0,2022.0,0.0
48075,Childress County,crypto,2023.0,2023.0,2023.0,0.0
48103,Crane County,crypto,2023.0,2023.0,2023.0,0.0
48109,Culberson County,crypto,2024.0,2024.0,2024.0,0.0
48125,Dickens County,crypto,2022.0,2022.0,2022.0,0.0
48135,Ector County,crypto,2022.0,2022.0,2022.0,0.0
48139,Ellis County,clean_dc,2019.0,2019.0,2023.0,0.0
48173,Glasscock County,crypto,2022.0,2023.0,2023.0,1.0
48221,Hood County,crypto,2022.0,2023.0,2023.0,1.0
48275,Knox County,clean_dc,2025.0,2025.0,2025.0,0.0
48277,Lamar County,crypto,2025.0,2025.0,2025.0,0.0
48325,Medina County,clean_dc,2022.0,2023.0,2023.0,1.0
48331,Milam County,crypto,2019.0,2019.0,2019.0,0.0
48349,Navarro County,crypto,2025.0,2025.0,2025.0,0.0
48355,Nueces County,mixed,2023.0,2023.0,2023.0,0.0
48371,Pecos County,mixed,2021.0,2021.0,2021.0,0.0
48389,Reeves County,crypto,2022.0,2022.0,2022.0,0.0
48441,Taylor County,mixed,2022.0,2022.0,2022.0,0.0
48461,Upton County,crypto,2022.0,2022.0,2022.0,0.0
48475,Ward County,mixed,2022.0,2022.0,2022.0,0.0
49035,Salt Lake County,clean_dc,2006.0,2025.0,2020.0,19.0
49049,Utah County,clean_dc,2013.0,2022.0,2022.0,9.0
51047,Culpeper County,clean_dc,2008.0,2010.0,2011.0,2.0
51061,Fauquier County,clean_dc,2014.0,2022.0,2022.0,8.0
51087,Henrico County,clean_dc,2010.0,2023.0,2023.0,13.0
51107,Loudoun County,clean_dc,2000.0,2018.0,2021.0,18.0
51117,Mecklenburg County,clean_dc,2012.0,2030.0,2022.0,18.0
51153,Prince William County,clean_dc,2003.0,2025.0,2024.0,22.0
51193,Westmoreland County,clean_dc,2020.0,2020.0,2020.0,0.0
53017,Douglas County,mixed,2008.0,2017.0,2017.0,9.0
