treated_fips,treated_state,pt_2017_treated,control_fips,pt_2017_control,ratio,band_status,control_post_covered,treated_post_covered
48275,48,1.351,48023,1.327,0.9822353811991118,OK,False,False
48277,48,11.809,48299,11.931,1.0103311033957152,OK,True,True
48277,48,11.809,48217,11.682,0.9892454907274114,OK,True,True
48277,48,11.809,48099,12.062,1.0214243373698026,OK,True,True
48325,48,14.039,48105,14.107,1.0048436498326092,OK,False,True
48325,48,14.039,48019,14.132,1.006624403447539,OK,True,True
48325,48,14.039,48241,14.196,1.0111831327017593,OK,False,True
48331,48,13.411,48015,13.407,0.9997017373797629,OK,True,True
48331,48,13.411,48477,13.419,1.0005965252404743,OK,True,True
48331,48,13.411,48495,13.315,0.9928416971143091,OK,False,True
48349,48,20.553,48473,20.981,1.0208242105775314,OK,True,True
48349,48,20.553,48365,21.146,1.0288522356833552,OK,True,True
48349,48,20.553,48265,19.389,0.9433659319807327,OK,True,True
48355,48,108.949,48303,82.406,0.7563722475653747,OK,True,True
48355,48,108.949,48245,80.401,0.7379691415249336,OK,True,True
48355,48,108.949,48209,70.285,0.6451183581308686,OK,True,True
48371,48,19.866,48265,19.389,0.9759891271519179,OK,True,True
48371,48,19.866,48053,19.34,0.9735226014295781,OK,True,True
48371,48,19.866,48373,19.209,0.9669284204167925,OK,True,True
48389,48,14.635,48073,14.736,1.006901264092928,OK,True,False
48389,48,14.635,48425,14.258,0.9742398360095661,OK,False,False
48389,48,14.635,48449,15.038,1.027536727024257,OK,False,False
48441,48,39.312,48187,40.568,1.031949531949532,OK,True,True
48441,48,39.312,48257,37.66,0.957977207977208,OK,True,True
48441,48,39.312,48367,41.986,1.068019943019943,OK,True,True
48461,48,0.848,48151,0.898,1.0589622641509435,OK,False,False
48461,48,0.848,48413,0.778,0.9174528301886793,OK,False,False
48461,48,0.848,48197,0.925,1.090801886792453,OK,True,False
48475,48,18.07,48427,17.988,0.9954620918649695,OK,True,True
48475,48,18.07,48037,18.245,1.0096845600442723,OK,True,True
48475,48,18.07,48097,17.54,0.9706696181516324,OK,True,True
49035,49,302.267,49011,52.107,0.17238732643656104,FALLBACK,False,False
49035,49,302.267,49043,31.692,0.10484770087373084,FALLBACK,False,False
49035,49,302.267,49003,16.373,0.054167342118061186,FALLBACK,True,False
49049,49,46.728,49011,52.107,1.1151129943502824,FALLBACK,False,True
49049,49,46.728,49043,31.692,0.6782229070364664,FALLBACK,False,True
49049,49,46.728,49003,16.373,0.3503894881013525,FALLBACK,True,True
51047,51,60.824,51067,56.11,0.9224976982769959,OK,True,True
51047,51,60.824,51019,66.168,1.0878600552413522,OK,True,True
51047,51,60.824,51093,53.895,0.8860811521767724,OK,True,True
51061,51,136.699,51095,128.094,0.9370514780649455,OK,True,True
51061,51,136.699,51199,153.683,1.1242437764723954,OK,True,True
51061,51,136.699,51003,167.327,1.2240543091024805,OK,True,True
51087,51,402.026,51013,863.057,2.1467691144353847,FALLBACK,True,True
51087,51,402.026,51003,167.327,0.4162093993920791,FALLBACK,True,True
51087,51,402.026,51199,153.683,0.3822712958863357,FALLBACK,True,True
51107,51,1134.525,51013,863.057,0.7607210065886604,FALLBACK,True,True
51107,51,1134.525,51003,167.327,0.14748639298384786,FALLBACK,True,True
51107,51,1134.525,51199,153.683,0.1354602146272669,FALLBACK,True,True
51117,51,29.706,51053,30.644,1.0315761125698513,OK,True,True
51117,51,29.706,51127,28.378,0.9552952265535583,OK,True,True
51117,51,29.706,51083,26.818,0.9027805830471959,OK,True,True
51153,51,780.642,51013,863.057,1.1055733614127858,FALLBACK,True,True
51153,51,780.642,51003,167.327,0.21434537214241609,FALLBACK,True,True
51153,51,780.642,51199,153.683,0.19686745012438478,FALLBACK,True,True
51193,51,17.089,51173,17.391,1.017672186786822,OK,True,True
51193,51,17.089,51167,17.419,1.0193106676809645,OK,True,True
51193,51,17.089,51103,17.498,1.0239335244894379,OK,True,True
53017,53,11.621,53065,11.628,1.0006023578005334,OK,False,True
53017,53,11.621,53031,12.142,1.044832630582566,OK,False,True
53017,53,11.621,53021,12.623,1.0862232165906547,OK,True,True
53025,53,26.42,53005,27.594,1.0444360333081,OK,True,True
53025,53,26.42,53015,27.839,1.0537093111279332,OK,True,True
53025,53,26.42,53041,23.154,0.8763815291445873,OK,True,True
53051,53,3.91,53043,4.028,1.0301790281329921,OK,True,True
53051,53,3.91,53003,4.927,1.2601023017902813,OK,True,True
53051,53,3.91,53059,4.974,1.2721227621483375,OK,True,True
54047,54,4.404,54109,4.385,0.995685740236149,OK,True,True
54047,54,4.404,54085,4.501,1.0220254314259765,OK,True,True
54047,54,4.404,54031,4.148,0.9418710263396911,OK,True,True
55101,55,51.966,55117,47.538,0.9147904399030135,OK,True,False
55101,55,51.966,55073,46.886,0.902243774775815,OK,False,False
55101,55,51.966,55127,63.664,1.2251087249355348,OK,False,False
56021,56,27.279,56037,27.381,1.0037391399978006,OK,False,False
56021,56,27.279,56009,18.238,0.6685728949008395,OK,False,False
56021,56,27.279,56029,15.535,0.5694856849591261,OK,False,False
