county_fips,prop_tax_2017_M,mw_year,mw_latest,n_dc_latest,mw_peak,dc_tax_M_low,dc_share_low,dc_tax_M_mid,dc_share_mid,dc_tax_M_high,dc_share_high,state,name,pt_structure_state,dc_tax_M_low_adjusted,dc_share_low_adjusted,dc_tax_M_mid_adjusted,dc_share_mid_adjusted,dc_tax_M_high_adjusted,dc_share_high_adjusted
37039,19.427,2025.0,134.0,3,134.0,4.02,20.69285015699799,6.7,34.48808359499665,13.4,68.9761671899933,NC,Cherokee County,standard,4.02,20.69285015699799,6.7,34.48808359499665,13.4,68.9761671899933
47121,3.617,2025.0,20.0,1,20.0,0.6,16.58833287254631,1.0,27.647221454243848,2.0,55.294442908487696,TN,Meigs County,standard,0.6,16.58833287254631,1.0,27.647221454243848,2.0,55.294442908487696
38093,25.717,2025.0,138.0,3,138.0,4.14,16.098300734922425,6.9,26.83050122487071,13.8,53.66100244974142,ND,Stutsman County,standard,4.14,16.098300734922425,6.9,26.83050122487071,13.8,53.66100244974142
48075,8.48,2025.0,45.0,1,45.0,1.35,15.919811320754716,2.25,26.533018867924525,4.5,53.06603773584905,TX,Childress County,TX-Chapter-312-abatement,0.3375,3.979952830188679,0.5625,6.633254716981131,1.125,13.266509433962263
38105,90.964,2025.0,480.0,1,480.0,14.4,15.830438415197222,24.0,26.3840640253287,48.0,52.7681280506574,ND,Williams County,standard,14.4,15.830438415197222,24.0,26.3840640253287,48.0,52.7681280506574
54047,17.342,2025.0,90.0,1,90.0,2.7,15.569138507669244,4.5,25.948564179448734,9.0,51.89712835889747,WV,McDowell County,standard,2.7,15.569138507669244,4.5,25.948564179448738,9.0,51.897128358897476
47151,7.858,2025.0,40.0,2,40.0,1.2,15.271061338763044,2.0,25.451768897938408,4.0,50.903537795876815,TN,Scott County,standard,1.2,15.271061338763044,2.0,25.451768897938408,4.0,50.903537795876815
48349,80.452,2025.0,400.0,1,400.0,12.0,14.915726147267936,20.0,24.859543578779896,40.0,49.71908715755979,TX,Navarro County,TX-Chapter-312-abatement,3.0,3.728931536816984,5.0,6.214885894694974,10.0,12.429771789389948
01071,16.871,2025.0,80.0,2,80.0,2.4,14.22559421492502,4.0,23.7093236915417,8.0,47.4186473830834,AL,Jackson County,AL-abatement-heavy,0.36,2.133839132238753,0.6,3.5563985537312552,1.2,7.1127971074625105
40101,42.525,2025.0,200.0,1,200.0,6.0,14.109347442680775,10.0,23.515579071134628,20.0,47.031158142269256,OK,Muskogee County,standard,6.0,14.109347442680777,10.0,23.515579071134628,20.0,47.031158142269256
41065,37.559,2025.0,170.14655,6,170.14655,5.1043965,13.590341862136906,8.5073275,22.650569770228177,17.014655,45.301139540456354,OR,Wasco County,standard,5.1043965,13.590341862136906,8.5073275,22.650569770228177,17.014655,45.301139540456354
13097,127.743,2025.0,563.61326,13,563.61326,16.9083978,13.236261712970574,28.180663,22.06043618828429,56.361326,44.12087237656858,GA,Douglas County,GA-IDA-leasehold,3.3816795600000003,2.647252342594115,5.6361326,4.412087237656857,11.2722652,8.824174475313715
39111,23.859,2025.0,100.0,1,100.0,3.0,12.57387149503332,5.0,20.9564524917222,10.0,41.9129049834444,OH,Monroe County,OH-categorical-no-TPP,0.6000000000000001,2.5147742990066644,1.0,4.19129049834444,2.0,8.38258099668888
46119,7.224,2025.0,30.0,1,30.0,0.9,12.45847176079734,1.5,20.764119601328904,3.0,41.52823920265781,SD,Sully County,standard,0.9,12.458471760797341,1.5,20.764119601328904,3.0,41.52823920265781
51107,1154.616,2025.0,4740.8181038,214,4740.8181038,142.224543114,12.31790856128791,237.04090519,20.52984760214651,474.08181038,41.05969520429303,VA,Loudoun County,VA-consolidated,142.224543114,12.31790856128791,237.04090519,20.529847602146514,474.08181038,41.05969520429303
13313,89.806,2025.0,359.94917499999997,4,359.94917499999997,10.798475249999996,12.02422471772487,17.99745875,20.040374529541456,35.9949175,40.08074905908291,GA,Whitfield County,GA-IDA-leasehold,2.1596950499999994,2.4048449435449744,3.5994917500000003,4.008074905908291,7.198983500000001,8.016149811816582
39089,213.646,2025.0,782.0,18,782.0,23.46,10.9807812924183,39.1,18.301302154030505,78.2,36.60260430806101,OH,Licking County,OH-categorical-no-TPP,4.692,2.19615625848366,7.82,3.6602604308061,15.64,7.3205208616122
19155,171.98999999999998,2025.0,598.5008,14,598.5008,17.955024,10.43957439386011,29.92504,17.399290656433514,59.85008,34.79858131286703,IA,Pottawattamie County,standard,17.955024,10.43957439386011,29.92504,17.399290656433514,59.85008,34.79858131286703
48109,18.213,2025.0,63.0,1,63.0,1.89,10.377203096689176,3.15,17.295338494481964,6.3,34.59067698896393,TX,Culberson County,TX-Chapter-312-abatement,0.4725,2.5943007741722943,0.7875,4.323834623620491,1.575,8.647669247240982
37161,49.48800000000001,2025.0,170.0,4,170.0,5.1,10.305528612997088,8.5,17.175881021661816,17.0,34.35176204332363,NC,Rutherford County,standard,5.1,10.305528612997088,8.5,17.175881021661816,17.0,34.35176204332363
48221,95.328,2025.0,320.7,4,387.7,9.621,10.092522658610273,16.035,16.820871097683785,32.07,33.64174219536757,TX,Hood County,TX-Chapter-312-abatement,2.40525,2.5231306646525677,4.00875,4.205217774420946,8.0175,8.410435548841892
18153,35.486000000000004,2025.0,115.0,1,115.0,3.45,9.722143944090629,5.75,16.203573240151044,11.5,32.40714648030209,IN,Sullivan County,standard,3.45,9.722143944090627,5.75,16.203573240151044,11.5,32.40714648030209
21109,3.079,2025.0,9.0909091,1,9.0909091,0.272727273,8.857657453718739,0.4545454549999999,14.762762422864563,0.90909091,29.525524845729127,KY,Jackson County,KY-consolidated-with-PILOT,0.2454545457,7.971891708346866,0.4090909094999999,13.286486180578104,0.818181819,26.572972361156218
56021,81.937,2025.0,232.2,12,232.2,6.966,8.501653709557344,11.61,14.169422849262238,23.22,28.338845698524477,WY,Laramie County,standard,6.966,8.501653709557344,11.61,14.169422849262238,23.22,28.338845698524477
37027,58.867,2025.0,158.0,3,160.0,4.74,8.052049535393344,7.9,13.420082558988907,15.8,26.840165117977815,NC,Caldwell County,standard,4.74,8.052049535393344,7.9,13.420082558988907,15.8,26.840165117977815
31153,237.128,2025.0,578.289,15,578.289,17.34867,7.316162578860362,28.91445,12.193604298100604,57.8289,24.387208596201205,NE,Sarpy County,standard,17.34867,7.316162578860362,28.91445,12.193604298100603,57.8289,24.387208596201205
13217,84.905,2025.0,200.0,4,200.0,6.0,7.066721630057122,10.0,11.777869383428538,20.0,23.555738766857075,GA,Newton County,GA-IDA-leasehold,1.2000000000000002,1.4133443260114247,2.0,2.3555738766857077,4.0,4.7111477533714154
53017,36.542,2025.0,84.81,7,92.31,2.5443,6.962673088500902,4.2405,11.604455147501504,8.481,23.208910295003008,WA,Douglas County,standard,2.5443,6.962673088500902,4.2405,11.604455147501504,8.481,23.208910295003008
51153,788.936,2025.0,1760.0950428,66,1760.0950428,52.802851284,6.692919487005282,88.00475214,11.15486581167547,176.00950428,22.30973162335094,VA,Prince William County,VA-consolidated,52.802851284,6.692919487005282,88.00475214,11.15486581167547,176.00950428,22.30973162335094
45015,173.402,2025.0,375.0104666,10,375.0104666,11.250313998,6.487995523696382,18.750523329999996,10.8133258728273,37.50104665999999,21.6266517456546,SC,Berkeley County,SC-FILOT,5.625156999,3.243997761848191,9.375261664999998,5.4066629364136505,18.750523329999996,10.813325872827301
30003,17.801000000000002,2022.0,37.0,1,37.0,1.11,6.235604741306668,1.85,10.392674568844448,3.7,20.785349137688893,MT,Big Horn County,standard,1.11,6.235604741306668,1.85,10.392674568844447,3.7,20.785349137688893
19181,67.586,2025.0,140.0,5,140.0,4.2,6.214304737667565,7.0,10.357174562779274,14.0,20.71434912555855,IA,Warren County,standard,4.2,6.214304737667565,7.0,10.357174562779274,14.0,20.71434912555855
01089,222.23,2025.0,440.35,10,440.35,13.2105,5.944516941907033,22.0175,9.907528236511723,44.035,19.815056473023446,AL,Madison County,AL-abatement-heavy,1.9815749999999999,0.891677541286055,3.3026249999999995,1.4861292354767581,6.605249999999999,2.9722584709535163
47173,4.738,2025.0,9.0909091,1,9.0909091,0.272727273,5.756168699873363,0.4545454549999999,9.593614499788938,0.90909091,19.187228999577876,TN,Union County,standard,0.272727273,5.756168699873363,0.4545454549999999,9.593614499788938,0.90909091,19.18722899957788
42007,214.171,2025.0,400.0,2,400.0,12.0,5.602999472384217,20.0,9.338332453973694,40.0,18.676664907947387,PA,Beaver County,standard,12.0,5.602999472384217,20.0,9.338332453973694,40.0,18.676664907947387
42121,49.152,2025.0,90.0,1,90.0,2.7,5.4931640625,4.5,9.1552734375,9.0,18.310546875,PA,Venango County,standard,2.7,5.4931640625,4.5,9.1552734375,9.0,18.310546875
17037,207.873,2025.0,379.2,4,379.2,11.376,5.472572195523228,18.96,9.12095365920538,37.92,18.24190731841076,IL,DeKalb County,standard,11.376,5.472572195523228,18.96,9.12095365920538,37.92,18.24190731841076
47035,23.058,2025.0,40.0,2,40.0,1.2,5.204267499349466,2.0,8.673779165582445,4.0,17.34755833116489,TN,Cumberland County,standard,1.2,5.204267499349466,2.0,8.673779165582445,4.0,17.34755833116489
30093,43.678,2025.0,75.0,1,75.0,2.25,5.151334768075461,3.75,8.585557946792436,7.5,17.171115893584872,MT,Silver Bow County,standard,2.25,5.151334768075461,3.75,8.585557946792436,7.5,17.171115893584872
21035,20.686,2025.0,35.0,2,35.0,1.05,5.0758967417577106,1.75,8.459827902929517,3.5,16.919655805859033,KY,Calloway County,KY-consolidated-with-PILOT,0.9450000000000001,4.568307067581939,1.575,7.613845112636565,3.15,15.22769022527313
19049,144.296,2025.0,231.1394666,10,231.1394666,6.934183998,4.805527525364528,11.55697333,8.009212542274215,23.11394666,16.01842508454843,IA,Dallas County,standard,6.934183998,4.805527525364528,11.55697333,8.009212542274215,23.11394666,16.01842508454843
38035,82.456,2025.0,130.0,2,130.0,3.9,4.729795284757931,6.5,7.882992141263219,13.0,15.765984282526436,ND,Grand Forks County,standard,3.9,4.729795284757931,6.5,7.882992141263219,13.0,15.765984282526437
21225,8.866,2025.0,13.0,1,13.0,0.39,4.398826979472141,0.65,7.331378299120235,1.3,14.66275659824047,KY,Union County,KY-consolidated-with-PILOT,0.35100000000000003,3.958944281524927,0.5850000000000001,6.598240469208212,1.1700000000000002,13.196480938416425
47025,13.734,2025.0,20.0,1,20.0,0.6,4.36871996505024,1.0,7.2811999417504,2.0,14.5623998835008,TN,Claiborne County,standard,0.6,4.36871996505024,1.0,7.2811999417504,2.0,14.5623998835008
48325,61.735,2025.0,83.23083,3,83.23083,2.4969249,4.044585567344294,4.1615415,6.740975945573824,8.323083,13.481951891147649,TX,Medina County,TX-Chapter-312-abatement,0.624231225,1.0111463918360735,1.040385375,1.685243986393456,2.08077075,3.370487972786912
47013,16.192,2025.0,20.0,1,20.0,0.6,3.705533596837945,1.0,6.175889328063241,2.0,12.351778656126482,TN,Campbell County,standard,0.6,3.705533596837945,1.0,6.175889328063241,2.0,12.351778656126482
39159,73.481,2025.0,90.0,4,90.0,2.7,3.6744192376260534,4.5,6.124032062710088,9.0,12.248064125420177,OH,Union County,OH-categorical-no-TPP,0.54,0.7348838475252106,0.9,1.2248064125420177,1.8,2.4496128250840354
48441,164.143,2025.0,200.1,2,200.1,6.003,3.657176973736315,10.005,6.0952949562271925,20.01,12.190589912454383,TX,Taylor County,TX-Chapter-312-abatement,1.50075,0.9142942434340787,2.50125,1.5238237390567981,5.0025,3.0476474781135963
31019,86.223,2025.0,100.0,1,100.0,3.0,3.479350057409276,5.0,5.798916762348793,10.0,11.597833524697586,NE,Buffalo County,standard,3.0,3.479350057409276,5.0,5.798916762348793,10.0,11.597833524697586
39063,78.342,2025.0,90.0,1,90.0,2.7,3.446427203798729,4.5,5.744045339664548,9.0,11.488090679329096,OH,Hancock County,OH-categorical-no-TPP,0.54,0.6892854407597457,0.9,1.1488090679329095,1.8,2.297618135865819
28089,152.688,2025.0,160.05,3,160.05,4.8015,3.1446479094624333,8.002500000000001,5.241079849104056,16.005000000000003,10.482159698208113,MS,Madison County,standard,4.8015,3.1446479094624333,8.002500000000001,5.241079849104056,16.005000000000003,10.482159698208113
47107,19.993,2025.0,20.0,1,20.0,0.6,3.0010503676286704,1.0,5.00175061271445,2.0,10.0035012254289,TN,McMinn County,standard,0.6,3.0010503676286704,1.0,5.00175061271445,2.0,10.0035012254289
47165,121.848,2025.0,120.0,3,120.0,3.6,2.954500689383494,6.0,4.924167815639157,12.0,9.848335631278314,TN,Sumner County,standard,3.6,2.954500689383494,6.0,4.924167815639157,12.0,9.848335631278314
21195,34.488,2025.0,33.6363636,2,33.6363636,1.009090908,2.925918893528184,1.6818181800000005,4.87653148921364,3.3636363600000005,9.75306297842728,KY,Pike County,KY-consolidated-with-PILOT,0.9081818171999999,2.633327004175365,1.5136363620000004,4.388878340292276,3.0272727240000004,8.777756680584552
48067,43.07,2025.0,40.0,1,40.0,1.2,2.7861620617599256,2.0,4.643603436266543,4.0,9.287206872533083,TX,Cass County,TX-Chapter-312-abatement,0.3,0.6965405154399814,0.5,1.1609008590666356,1.0,2.3218017181332713
48135,250.919,2025.0,207.0,1,207.0,6.21,2.474902259294832,10.35,4.12483709882472,20.7,8.24967419764944,TX,Ector County,TX-Chapter-312-abatement,1.5525,0.618725564823708,2.5875,1.03120927470618,5.175,2.06241854941236
47125,148.606,2025.0,120.0,4,120.0,3.6,2.422513222884675,6.0,4.037522038141125,12.0,8.07504407628225,TN,Montgomery County,standard,3.6,2.422513222884675,6.0,4.037522038141125,12.0,8.07504407628225
48139,272.332,2025.0,217.5,9,217.5,6.525,2.395972562901165,10.875,3.993287604835275,21.75,7.98657520967055,TX,Ellis County,TX-Chapter-312-abatement,1.63125,0.5989931407252912,2.71875,0.9983219012088187,5.4375,1.9966438024176374
51087,402.038,2025.0,316.3571096,15,316.3571096,9.490713288,2.360650806142703,15.81785548,3.934418010237838,31.63571096,7.868836020475676,VA,Henrico County,VA-consolidated,9.490713288,2.360650806142703,15.81785548,3.934418010237838,31.63571096,7.868836020475676
48389,64.937,2025.0,50.0,1,50.0,1.5,2.3099311640513114,2.5,3.849885273418853,5.0,7.699770546837705,TX,Reeves County,TX-Chapter-312-abatement,0.375,0.5774827910128278,0.625,0.9624713183547131,1.25,1.9249426367094262
36063,349.153,2025.0,265.5,4,265.5,7.965,2.281234874109631,13.275,3.8020581235160513,26.55,7.604116247032103,NY,Niagara County,standard,7.965,2.281234874109631,13.275,3.8020581235160513,26.55,7.604116247032103
19153,963.011,2025.0,724.7114536,32,724.7114536,21.741343608,2.2576422915210728,36.23557268,3.7627371525351214,72.47114536,7.525474305070243,IA,Polk County,standard,21.741343608,2.257642291521073,36.23557268,3.7627371525351214,72.47114536,7.525474305070243
51047,64.127,2025.0,46.10212,7,46.10212,1.3830636,2.156757060208649,2.305106,3.594595100347747,4.610212,7.189190200695495,VA,Culpeper County,VA-consolidated,1.3830636,2.156757060208649,2.305106,3.5945951003477474,4.610212,7.189190200695495
48355,620.448,2025.0,420.30736,6,420.30736,12.6092208,2.0322768064366397,21.015368,3.387128010727732,42.030736,6.774256021455464,TX,Nueces County,TX-Chapter-312-abatement,3.1523052,0.5080692016091598,5.253842,0.846782002681933,10.507684,1.693564005363866
31081,23.615,2025.0,15.15,2,15.15,0.4545,1.9246241795468984,0.7575,3.207706965911497,1.515,6.415413931822994,NE,Hamilton County,standard,0.4545,1.9246241795468984,0.7575,3.207706965911497,1.515,6.415413931822994
39045,167.817,2025.0,100.0,2,100.0,3.0,1.787661559913477,5.0,2.9794359331891287,10.0,5.958871866378257,OH,Fairfield County,OH-categorical-no-TPP,0.6000000000000001,0.35753231198269547,1.0,0.5958871866378257,2.0,1.1917743732756514
48003,85.457,2025.0,50.0,2,50.0,1.5,1.7552687316428146,2.5,2.9254478860713578,5.0,5.8508957721427155,TX,Andrews County,TX-Chapter-312-abatement,0.375,0.43881718291070365,0.625,0.7313619715178394,1.25,1.4627239430356789
37035,143.981,2025.0,83.44,4,83.44,2.5032,1.738562727026483,4.172,2.8976045450441377,8.344,5.795209090088275,NC,Catawba County,standard,2.5032,1.738562727026483,4.172,2.8976045450441377,8.344,5.795209090088275
51193,21.134,2025.0,12.0,1,12.0,0.36,1.7034162960158985,0.6,2.8390271600264976,1.2,5.678054320052995,VA,Westmoreland County,VA-consolidated,0.36,1.7034162960158985,0.6,2.8390271600264976,1.2,5.678054320052995
41067,948.158,2025.0,527.98753,29,527.98753,15.8396259,1.6705681858930683,26.3993765,2.7842803098217805,52.798753,5.568560619643561,OR,Washington County,standard,15.8396259,1.6705681858930683,26.3993765,2.7842803098217805,52.798753,5.568560619643561
26027,52.654,2025.0,29.0,1,29.0,0.87,1.6522961218520908,1.45,2.753826869753485,2.9,5.50765373950697,MI,Cass County,standard,0.87,1.6522961218520908,1.45,2.753826869753485,2.9,5.50765373950697
47105,36.383,2025.0,20.0,1,20.0,0.6,1.6491218426188057,1.0,2.7485364043646756,2.0,5.497072808729351,TN,Loudon County,standard,0.6,1.6491218426188055,1.0,2.7485364043646756,2.0,5.497072808729351
21145,43.256,2025.0,23.0,1,28.0,0.69,1.5951544294433142,1.15,2.658590715738857,2.3,5.317181431477714,KY,McCracken County,KY-consolidated-with-PILOT,0.621,1.435638986498983,1.035,2.392731644164971,2.07,4.785463288329942
04013,4231.624,2025.0,2042.7420747,90,2042.7420747,61.282262241000005,1.448197246281806,102.137103735,2.413662077136343,204.27420747,4.827324154272686,AZ,Maricopa County,standard,61.282262241000005,1.448197246281806,102.137103735,2.413662077136343,204.27420747,4.827324154272686
13145,31.609,2025.0,14.0,1,14.0,0.42,1.3287354867284633,0.7,2.214559144547439,1.4,4.429118289094878,GA,Harris County,GA-IDA-leasehold,0.084,0.2657470973456927,0.13999999999999999,0.4429118289094877,0.27999999999999997,0.8858236578189754
32031,446.9,2025.0,193.0996533,10,193.0996533,5.792989599,1.2962608187513986,9.654982665,2.1604346979189972,19.309965329999997,4.3208693958379945,NV,Washoe County,standard,5.792989599,1.2962608187513986,9.654982665,2.1604346979189977,19.309965329999997,4.3208693958379945
42079,399.861,2025.0,170.0,4,170.0,5.1,1.2754432165177398,8.5,2.125738694196233,17.0,4.251477388392466,PA,Luzerne County,standard,5.1,1.2754432165177398,8.5,2.125738694196233,17.0,4.251477388392466
18141,313.09000000000003,2025.0,128.114,8,128.114,3.84342,1.2275767351240856,6.4057,2.0459612252068093,12.8114,4.091922450413619,IN,St. Joseph County,standard,3.84342,1.2275767351240856,6.4057,2.0459612252068093,12.8114,4.091922450413619
49049,475.102,2025.0,183.916,10,183.916,5.51748,1.1613253575021787,9.1958,1.935542262503631,18.3916,3.871084525007262,UT,Utah County,standard,5.51748,1.1613253575021787,9.1958,1.935542262503631,18.3916,3.871084525007262
45087,23.882,2025.0,9.0,1,9.0,0.27,1.1305585796834434,0.45,1.884264299472406,0.9,3.768528598944812,SC,Union County,SC-FILOT,0.135,0.5652792898417217,0.225,0.942132149736203,0.45,1.884264299472406
48461,40.682,2025.0,15.0,1,15.0,0.45,1.1061403077528145,0.75,1.843567179588024,1.5,3.687134359176048,TX,Upton County,TX-Chapter-312-abatement,0.1125,0.2765350769382036,0.1875,0.46089179489700605,0.375,0.9217835897940121
19083,30.015,2025.0,10.15,3,10.15,0.3045,1.0144927536231885,0.5075,1.690821256038647,1.015,3.381642512077294,IA,Hardin County,standard,0.3045,1.0144927536231885,0.5075,1.690821256038647,1.015,3.381642512077294
29047,286.921,2025.0,94.5955,6,94.5955,2.837865,0.989075390089955,4.729775,1.6484589834832586,9.45955,3.296917966966517,MO,Clay County,standard,2.837865,0.989075390089955,4.729775,1.6484589834832586,9.45955,3.296917966966517
55101,286.29900000000004,2025.0,90.0,1,90.0,2.7,0.9430700072302032,4.5,1.571783345383672,9.0,3.143566690767344,WI,Racine County,standard,2.7,0.9430700072302033,4.5,1.571783345383672,9.0,3.143566690767344
48277,65.836,2025.0,20.0,1,20.0,0.6,0.9113554893978978,1.0,1.518925815663163,2.0,3.037851631326326,TX,Lamar County,TX-Chapter-312-abatement,0.15,0.22783887234947445,0.25,0.3797314539157908,0.5,0.7594629078315815
18127,200.029,2025.0,60.0,1,60.0,1.8,0.8998695189197566,3.0,1.4997825315329278,6.0,2.9995650630658557,IN,Porter County,standard,1.8,0.8998695189197566,3.0,1.4997825315329278,6.0,2.9995650630658557
19075,18.5,2025.0,5.4545455,1,5.4545455,0.1636363649999999,0.8845208918918918,0.272727275,1.4742014864864867,0.5454545500000001,2.9484029729729735,IA,Grundy County,standard,0.1636363649999999,0.8845208918918914,0.272727275,1.4742014864864863,0.5454545500000001,2.9484029729729735
39049,2203.461,2025.0,629.24428,37,629.24428,18.8773284,0.8567126171055445,31.462214,1.427854361842574,62.924428,2.855708723685148,OH,Franklin County,OH-categorical-no-TPP,3.77546568,0.1713425234211089,6.2924428,0.28557087236851486,12.5848856,0.5711417447370297
45083,333.925,2025.0,95.1,5,95.1,2.853,0.8543834693419181,4.755,1.4239724489031969,9.51,2.8479448978063937,SC,Spartanburg County,SC-FILOT,1.4265,0.42719173467095906,2.3775,0.7119862244515984,4.755,1.4239724489031969
36089,177.356,2025.0,50.0,1,50.0,1.5,0.8457565574325087,2.5,1.4095942623875144,5.0,2.819188524775029,NY,St. Lawrence County,standard,1.5,0.8457565574325087,2.5,1.4095942623875144,5.0,2.819188524775029
01075,5.503,2025.0,1.5,1,1.5,0.045,0.8177357804833727,0.075,1.3628929674722878,0.15,2.7257859349445757,AL,Lamar County,standard,0.045,0.8177357804833727,0.075,1.3628929674722878,0.15,2.7257859349445757
08085,37.331,2025.0,10.0,1,10.0,0.3,0.8036216549248613,0.5,1.339369424874769,1.0,2.678738849749538,CO,Montrose County,standard,0.3,0.8036216549248613,0.5,1.339369424874769,1.0,2.678738849749538
