treated_fips,treated_state,division,pt17_treated,pt17_control,control_fips,match_tier,log_dist,treated_growth,control_growth,treated_level_change,control_level_change
32031,32,Mountain,190.723,164.914,08013,division,0.14539798771792878,32.518364329420145,37.001709982172535,62.01999999999998,61.021000000000015
32031,32,Mountain,190.723,151.962,08001,division,0.22719162402797632,32.518364329420145,49.4867137837091,62.01999999999998,75.20100000000002
35061,35,Mountain,13.189,11.771,35055,state,0.1137442694134041,41.5194480248692,41.52578370571742,5.475999999999999,4.887999999999998
35061,35,Mountain,13.189,11.755,35039,state,0.11510446685171472,41.5194480248692,-38.6473840918758,5.475999999999999,-4.543000000000001
35061,35,Mountain,13.189,11.063,35027,state,0.17577694179097358,41.5194480248692,68.22742474916387,5.475999999999999,7.548
37027,37,South Atlantic,46.11,47.693,37087,state,0.03375479038266027,125.00975927130776,142.64357452875686,57.641999999999996,68.031
37027,37,South Atlantic,46.11,44.531,37105,state,0.03484427036643645,125.00975927130776,22.200264983943782,57.641999999999996,9.886000000000003
37027,37,South Atlantic,46.11,48.236,37023,state,0.045075784022731824,125.00975927130776,18.602288746993967,57.641999999999996,8.973000000000006
37035,37,South Atlantic,102.448,93.509,37133,state,0.09129766442969078,22.147821333749818,18.46560224149547,22.690000000000012,17.266999999999996
37035,37,South Atlantic,102.448,91.415,37147,state,0.1139457739959786,22.147821333749818,28.988678006891643,22.690000000000012,26.5
37035,37,South Atlantic,102.448,119.82,37019,state,0.15663526387933224,22.147821333749818,29.22049741278585,22.690000000000012,35.012
37039,37,South Atlantic,17.213,17.487,37009,state,0.015792835442153486,-48.68413408470342,23.21724709784412,-8.38,4.060000000000002
37039,37,South Atlantic,17.213,16.852,37011,state,0.021195568172598378,-48.68413408470342,41.22952765250416,-8.38,6.948
37039,37,South Atlantic,17.213,16.687,37149,state,0.031034939124602978,-48.68413408470342,25.426979085515654,-8.38,4.2429999999999986
37161,37,South Atlantic,41.523,40.105,37193,state,0.0347464757637872,25.812200467210932,13.641690562274045,10.717999999999996,5.471000000000004
37161,37,South Atlantic,41.523,39.426,37077,state,0.051821993438888825,25.812200467210932,11.751128696799062,10.717999999999996,4.632999999999996
37161,37,South Atlantic,41.523,44.531,37105,state,0.06993808526950307,25.812200467210932,22.200264983943782,10.717999999999996,9.886000000000003
