county_fips,name,state,dc_class,treated_by_2022,oil_confound,mw_latest,dc_share_mid,pt_2017_final,pt_2022_final,fy_base,fy_post,pt_cagr_pct,src_2017_final,src_2022_final,qc_census_verified,pt_both_final
13145,Harris County,GA,crypto,True,False,14.0,2.214559144547439,8.667509,19.117838,2017.0,2024.0,11.963839307997048,verified,verified,validated_ok,True
32031,Washoe County,NV,clean_dc,True,False,193.0996533,2.1604346979189972,190.723,252.743,2017.0,2022.0,5.792581169832767,census,census,no_verified_check,True
42079,Luzerne County,PA,mixed,False,False,170.0,2.125738694196233,120.726394,134.777939,2017.0,2024.0,1.5853170325850874,verified,verified,validated_ok,True
18141,St. Joseph County,IN,clean_dc,True,False,128.114,2.0459612252068093,56.749,63.914,2017.0,2022.0,2.4065079637612508,census,census,no_verified_check,True
49049,Utah County,UT,clean_dc,True,False,183.916,1.935542262503631,46.728,69.729,2017.0,2022.0,8.334616115813409,census,census,no_verified_check,True
45087,Union County,SC,crypto,False,False,9.0,1.884264299472406,12.225,15.907,2017.0,2022.0,5.406618863200419,census,census,no_verified_check,True
48461,Upton County,TX,crypto,True,False,15.0,1.843567179588024,13.545,28.281,2017.0,2022.0,15.862568115022224,TX_Comptroller,TX_Comptroller,no_verified_check,True
19083,Hardin County,IA,mixed,False,False,10.15,1.690821256038647,7.603,10.201,2017.0,2022.0,6.055098441116291,census,census,no_verified_check,True
29047,Clay County,MO,clean_dc,True,False,94.5955,1.6484589834832586,8.921,7.078,2017.0,2022.0,-4.522859457549943,census,census,no_verified_check,True
55101,Racine County,WI,clean_dc,False,False,90.0,1.571783345383672,51.919843,63.822269,2017.0,2024.0,2.9924887654785293,verified,verified,validated_ok,True
48277,Lamar County,TX,crypto,False,False,20.0,1.518925815663163,11.809,14.972,2017.0,2022.0,4.860841644164471,census,census,no_verified_check,True
18127,Porter County,IN,clean_dc,False,False,60.0,1.4997825315329278,38.235,46.566,2017.0,2022.0,4.02113013808012,census,census,no_verified_check,True
19075,Grundy County,IA,crypto,True,False,5.4545455,1.4742014864864867,5.506,7.233,2017.0,2022.0,5.6079108921236465,census,census,no_verified_check,True
39049,Franklin County,OH,clean_dc,True,False,629.24428,1.427854361842574,432.379,531.792,2017.0,2023.0,3.5093388243580215,verified,verified,validated_ok,True
45083,Spartanburg County,SC,mixed,True,False,95.1,1.4239724489031969,104.284848,157.288574,2017.0,2023.0,7.089278794179932,verified,verified,validated_ok,True
36089,St. Lawrence County,NY,crypto,True,False,50.0,1.4095942623875144,48.809,52.732,2017.0,2022.0,1.5581700184170488,census,census,no_verified_check,True
01075,Lamar County,AL,clean_dc,True,False,1.5,1.3628929674722878,1.903,2.403,2017.0,2022.0,4.776285163889282,verified,verified,validated_ok,True
08085,Montrose County,CO,crypto,True,False,10.0,1.339369424874769,13.664,20.416162,2017.0,2024.0,5.904338035794443,verified,verified,validated_ok,True
47113,Madison County,TN,mixed,False,False,20.05,1.2523892213324672,46.625406,56.913391,2018.0,2024.0,3.378915683369854,verified,verified,no_verified_check,True
51061,Fauquier County,VA,clean_dc,True,False,33.689,1.2205628740779386,136.699,175.652,2017.0,2022.0,5.1423191931063705,census,census,no_verified_check,True
13121,Fulton County,GA,mixed,True,False,502.8330698,1.214393113385171,558.945,765.662,2017.0,2024.0,4.598149810687602,verified,verified,validated_ok,True
13157,Jackson County,GA,crypto,True,False,18.0,1.1572139431422217,23.3336,41.254594,2017.0,2024.0,8.481528446874599,verified,verified,FLAG_disagree,True
13285,Troup County,GA,mixed,True,False,14.0,1.1239563262684649,22.936543,28.853594,2017.0,2022.0,4.697036995693349,verified,verified,validated_ok,True
16001,Ada County,ID,clean_dc,True,False,105.458,1.0514802362634952,110.576,140.369,2017.0,2022.0,4.887097151003061,census,census,no_verified_check,True
32003,Clark County,NV,clean_dc,True,False,389.479528,1.045933048172918,622.066256,1067.227794,2017.0,2024.0,8.016136756502124,verified,verified,validated_ok,True
49035,Salt Lake County,UT,clean_dc,True,False,269.8968,1.0168277761912548,287.559672,340.031013,2017.0,2022.0,3.408945608656677,verified,verified,validated_ok,True
45091,York County,SC,clean_dc,True,False,72.9,1.0142862708213911,101.256,168.363355,2017.0,2024.0,7.534219265796627,verified,verified,validated_ok,True
