treated_fips,state,division,n_ctrl,outcome_treated,outcome_ctrl_mean,effect
31153,31,West North Central,3,32.813661888766376,-32.913849927510135,65.72751181627652
32003,32,Mountain,3,41.60822651674512,35.08307965188249,6.525146864862627
32029,32,Mountain,3,69.55365775056397,41.91119470109732,27.64246304946665
32031,32,Mountain,3,32.518364329420145,35.08307965188249,-2.564715322462348
35061,35,Mountain,3,41.5194480248692,45.048186925136974,-3.5287389002677756
36063,36,Middle Atlantic,3,12.09114722177147,4.766914377305594,7.324232844465876
36089,36,Middle Atlantic,3,8.03745210924216,11.623385731739075,-3.585933622496915
37027,37,South Atlantic,3,125.00975927130776,61.1487094198982,63.861049851409554
37035,37,South Atlantic,3,22.147821333749818,25.55825922039099,-3.410437886641173
37039,37,South Atlantic,3,-48.68413408470342,29.957917945287978,-78.6420520299914
37069,37,South Atlantic,3,35.95404774726261,61.1487094198982,-25.194661672635597
37161,37,South Atlantic,3,25.812200467210932,15.864361414338964,9.947839052871968
38021,38,West North Central,3,2.0964360587002018,1.4389653474169875,0.6574707112832143
38035,38,West North Central,3,-13.30027252825805,-0.3671979559628274,-12.933074572295222
38093,38,West North Central,3,-1.3747507608353526,4.731664673147692,-6.106415433983044
39045,39,East North Central,3,76.42453561800657,15.897524355042163,60.52701126296441
39049,39,East North Central,3,56.215382474926656,43.03243585750493,13.182946617421727
39063,39,East North Central,3,29.2705525606469,15.897524355042163,13.373028205604738
39089,39,East North Central,3,70.87099273250452,15.897524355042163,54.97346837746235
39159,39,East North Central,3,2.621295015932179,15.897524355042163,-13.276229339109985
41013,41,Pacific,3,69.41833883667768,64.06108280695021,5.357256029727466
41049,41,Pacific,3,52.091607095578496,28.683112712519563,23.408494383058933
41059,41,Pacific,3,33.67333333333333,23.902552446193738,9.770780887139594
41065,41,Pacific,3,-8.341072182355436,32.14538288526219,-40.48645506761763
41067,41,Pacific,3,25.459221712392875,23.971458924490957,1.487762787901918
42007,42,Middle Atlantic,3,22.708212239475213,7.478299714614022,15.229912524861192
42079,42,Middle Atlantic,3,7.417885317219519,7.478299714614022,-0.06041439739450283
42121,42,Middle Atlantic,3,3.7140123510480905,7.478299714614022,-3.7642873635659315
45015,45,South Atlantic,3,8.928509366419913,0.12275646074622297,8.80575290567369
45083,45,South Atlantic,3,24.86743059883971,12.671863524176084,12.195567074663627
45087,45,South Atlantic,3,30.118609406952967,0.12275646074622297,29.995852946206742
45091,45,South Atlantic,3,-4.756773399014769,12.671863524176084,-17.42863692319085
46119,46,West North Central,3,10.19271948608138,-29.25007225087067,39.442791736952046
47013,47,East South Central,3,23.404725104879653,12.824217183882988,10.580507920996665
47025,47,East South Central,3,-13.169203875009106,3.979658630148093,-17.1488625051572
47035,47,East South Central,3,13.022256930886368,12.824217183882988,0.19803974700337967
47105,47,East South Central,3,25.254121619194713,12.824217183882988,12.429904435311725
47107,47,East South Central,3,33.50928285402257,12.824217183882988,20.685065670139586
47113,47,East South Central,3,9.7704349978343,24.93983873521559,-15.169403737381291
47121,47,East South Central,3,15.986394557823116,3.979658630148093,12.006735927675024
47125,47,East South Central,3,5.624678931833427,24.93983873521559,-19.315159803382166
47151,47,East South Central,3,20.4568023833168,3.979658630148093,16.477143753168704
47165,47,East South Central,3,45.93019861518162,24.93983873521559,20.990359879966025
47173,47,East South Central,3,24.440692275221608,3.979658630148093,20.461033645073513
48067,48,West South Central,3,7.3545675735456895,34.23066638463161,-26.87609881108592
48109,48,West South Central,3,20.165238678090592,176.67018777513087,-156.50494909704028
48125,48,West South Central,3,0.3908158280410356,176.67018777513087,-176.27937194708983
48135,48,West South Central,3,22.53287346410866,39.45769404622375,-16.92482058211509
48139,48,West South Central,3,96.84327592106766,40.23571196604328,56.607563955024375
48221,48,West South Central,3,32.26004831978915,15.714093270877655,16.545955048911495
48277,48,West South Central,3,26.784655771022116,21.28438607515987,5.500269695862247
48325,48,West South Central,3,60.039888880974424,12.027515118766244,48.01237376220818
48331,48,West South Central,3,-56.83394228618299,30.809822435713272,-87.64376472189626
48349,48,West South Central,3,26.54113754683014,30.548185525973043,-4.007047979142904
48355,48,West South Central,3,21.86894785633646,21.15025262531876,0.7186952310177013
48371,48,West South Central,3,34.6370683579986,30.548185525973043,4.088882832025558
48441,48,West South Central,3,45.0371387871388,41.86231801829732,3.174820768841478
49035,49,Mountain,3,22.074854350623795,-16.22900799411725,38.30386234474105
49049,49,Mountain,3,49.223163841807896,-15.186309927701886,64.40947376950979
51047,51,South Atlantic,3,15.0713534131264,15.699559727023683,-0.628206313897282
51061,51,South Atlantic,3,28.495453514656276,21.45203278069731,7.043420733958968
51087,51,South Atlantic,3,38.32811808191509,21.847097725647092,16.481020356268
51107,51,South Atlantic,3,53.81626671955222,21.847097725647092,31.969168993905125
51117,51,South Atlantic,3,229.59671446845755,15.699559727023683,213.89715474143387
51153,51,South Atlantic,3,39.21720840026541,21.847097725647092,17.37011067461832
51193,51,South Atlantic,3,45.09918661127041,9.928456755984213,35.1707298552862
53017,53,Pacific,3,20.927631012821625,17.697363504405498,3.2302675084161265
53025,53,Pacific,3,16.50264950794853,19.87239029289037,-3.3697407849418397
53051,53,Pacific,3,18.439897698209727,7.293592629942457,11.14630506826727
54047,54,South Atlantic,3,-8.787465940054485,17.43408004675901,-26.221545986813496
55101,55,East North Central,3,27.62960397182772,65.29530045869943,-37.66569648687171
56021,56,Mountain,3,12.705744345467206,41.91119470109732,-29.205450355630116
