county_fips,state,name,dc_share_mid,prop_tax_2017_M,v2_has_anydata,v2_has_gf,v2_has_pt_gf,v2_has_pt_af,v2_has_pt_any,our_acfr_pdf,our_acfr_pdf_has_pt
18141,IN,St. Joseph County,2.0459612252068093,313.09000000000003,True,True,False,False,False,False,False
49049,UT,Utah County,1.935542262503631,475.102,True,True,True,True,True,False,False
45087,SC,Union County,1.884264299472406,23.882,True,True,True,True,True,False,False
48461,TX,Upton County,1.843567179588024,40.682,False,False,False,False,False,False,False
19083,IA,Hardin County,1.690821256038647,30.015,True,True,True,True,True,False,False
29047,MO,Clay County,1.6484589834832586,286.921,True,True,False,False,False,False,False
55101,WI,Racine County,1.571783345383672,286.29900000000004,True,True,False,False,False,False,False
48277,TX,Lamar County,1.518925815663163,65.836,True,True,True,True,True,False,False
18127,IN,Porter County,1.4997825315329278,200.029,True,True,True,True,True,False,False
19075,IA,Grundy County,1.4742014864864867,18.5,True,True,True,True,True,False,False
39049,OH,Franklin County,1.427854361842574,2203.461,False,False,False,False,False,False,False
45083,SC,Spartanburg County,1.4239724489031969,333.925,True,True,False,False,False,False,False
36089,NY,St. Lawrence County,1.4095942623875144,177.356,True,True,True,True,True,False,False
01075,AL,Lamar County,1.3628929674722878,5.503,False,False,False,False,False,False,False
08085,CO,Montrose County,1.339369424874769,37.331,True,True,False,False,False,False,False
47113,TN,Madison County,1.2523892213324672,80.047,True,True,False,False,False,False,False
51061,VA,Fauquier County,1.2205628740779386,138.006,True,True,True,True,True,False,False
13121,GA,Fulton County,1.214393113385171,2070.306,True,True,False,False,False,False,False
13157,GA,Jackson County,1.1572139431422217,77.773,True,True,False,False,False,False,False
13285,GA,Troup County,1.1239563262684649,62.28,True,True,True,True,True,False,False
16001,ID,Ada County,1.0514802362634952,501.474,True,True,False,False,False,False,False
32003,NV,Clark County,1.045933048172918,1861.876,True,True,False,False,False,False,False
49035,UT,Salt Lake County,1.0168277761912548,1327.151,False,False,False,False,False,False,False
45091,SC,York County,1.0142862708213911,359.366,True,True,True,True,True,False,False
