county_fips,name,state,mw_latest,mw_peak,elec_total_mwh,population,dc_mwh,dc_mwh_low,dc_mwh_high,power_share,power_share_low,power_share_high,prop_tax_2017_M,dc_share_mid
01089,Madison County,AL,440.35,440.35,5555261.360360147,349973.0,4050339.3,2864168.5050000004,5246153.760000001,72.90996835722984,51.557763338326836,94.4357685388882,222.23,9.907528236511723
21109,Jackson County,KY,9.0909091,9.0909091,118511.19624673927,13357.0,83618.18190179998,59130.000059130005,108305.45465375998,70.55720012116632,49.894020085681916,91.38837349027258,3.079,14.762762422864563
48355,Nueces County,TX,420.30736,420.30736,5753475.887928214,355667.0,3865987.09728,2733805.1616480006,5007373.764096,67.1939393261647,47.515714237787904,87.03214998436572,620.448,3.387128010727732
39045,Fairfield County,OH,100.0,100.0,1370873.853243293,150163.0,919800.0,650430.0000000001,1191360.0,67.09588908008448,47.44637870663118,86.90515157039513,167.817,2.9794359331891287
48139,Ellis County,TX,217.5,217.5,3034158.386108795,160225.0,2000565.0,1414685.2500000002,2591208.0,65.93475835536907,46.62529340843956,85.40121082219231,272.332,3.993287604835275
21035,Calloway County,KY,35.0,35.0,503456.0507358649,38302.0,321930.0,227650.50000000003,416976.0,63.944012497110414,45.21755169438523,82.82272094863825,20.686,8.459827902929517
51087,Henrico County,VA,316.3571096,316.3571096,4555377.8911917675,321921.0,2909852.6941008,2057681.5479712803,3768952.06093056,63.87730641901876,45.170380967734694,82.73632069511,402.038,3.934418010237838
26027,Cass County,MI,29.0,29.0,431121.85832488304,51795.0,266742.0,188624.7,345494.4,61.87160192629103,43.75206136216294,80.13845582833885,52.654,2.753826869753485
47035,Cumberland County,TN,40.0,40.0,642578.8195752836,57895.0,367919.99999999994,260172.00000000006,476544.0,57.25678917384469,40.48872948721876,74.1611745489798,23.058,8.673779165582445
47165,Sumner County,TN,120.0,120.0,1969129.7065308103,172786.0,1103760.0,780516.0,1429632.0,56.05318920024783,39.637612363032396,72.60222601174958,121.848,4.924167815639157
36089,St. Lawrence County,NY,50.0,50.0,825657.6534101157,111529.0,459900.0,325215.00000000006,595680.0,55.70105213710909,39.38860115409857,72.146124672827,177.356,1.4095942623875144
01071,Jackson County,AL,80.0,80.0,1400867.9480038562,52608.0,735839.9999999999,520344.0000000001,953088.0,52.527434941210764,37.144400422713346,68.03553478099681,16.871,23.7093236915417
47025,Claiborne County,TN,20.0,20.0,363651.28177868534,31701.0,183959.99999999997,130086.00000000003,238272.0,50.58692467690963,35.7721824501004,65.52211196247345,13.734,7.2811999417504
21225,Union County,KY,13.0,13.0,251847.586499369,15065.0,119574.0,84555.90000000001,154876.80000000002,47.47871586226203,33.574234788313866,61.49624149778702,8.866,7.331378299120235
51193,Westmoreland County,VA,12.0,12.0,236786.61589837805,17528.0,110376.0,78051.60000000002,142963.2,46.61412114921655,32.962842812660284,60.376385488509065,21.134,2.8390271600264976
47125,Montgomery County,TN,120.0,120.0,2418446.4492054456,189709.0,1103760.0,780516.0,1429632.0,45.63921604973426,32.273445635169224,59.113651264417705,148.606,4.037522038141125
47173,Union County,TN,9.0909091,9.0909091,188528.90696624565,19081.0,83618.18190179998,59130.000059130005,108305.45465375998,44.35297655269971,31.363890562266235,57.44766486825868,4.738,9.593614499788938
19075,Grundy County,IA,5.4545455,5.4545455,113698.92563120926,12373.0,50170.90950899999,35478.00029565,64983.273268799996,44.12610693590279,31.203461333245556,57.153814697931246,18.5,1.4742014864864867
39063,Hancock County,OH,90.0,90.0,1925221.3764105293,75672.0,827820.0,585387.0000000001,1072224.0,42.9986914826089,30.406217548416297,55.693543253664856,78.342,5.744045339664548
55101,Racine County,WI,90.0,90.0,2019356.2072973184,194873.0,827820.0,585387.0000000001,1072224.0,40.99425336691559,28.98879345231889,53.097318646671624,286.29900000000004,1.571783345383672
39049,Franklin County,OH,629.24428,629.24428,14310097.55756111,1232118.0,5787788.88744,4092793.570404,7496564.654207999,40.44548867790123,28.60073842223016,52.38653771613873,2203.461,1.427854361842574
47013,Campbell County,TN,20.0,20.0,466965.3060181375,40008.0,183959.99999999997,130086.00000000003,238272.0,39.39478964050805,27.85774410293071,51.02563229627711,16.192,6.175889328063241
13145,Harris County,GA,14.0,14.0,331420.86023967894,32992.0,128772.0,91060.20000000001,166790.40000000002,38.85452469916163,27.475699608692874,50.32586056272364,31.609,2.214559144547439
04013,Maricopa County,AZ,2042.7420747,2042.7420747,48929100.22058436,4088549.0,18789141.6030906,13286607.276471213,24336411.981145922,38.40075030684102,27.154816288409013,49.73811468314646,4231.624,2.413662077136343
49049,Utah County,UT,183.916,183.916,4428250.052324555,564177.0,1691659.3679999998,1196244.8388000003,2191101.6576,38.2015321630716,27.013940601029212,49.48007975407369,475.102,1.935542262503631
34017,Hudson County,NJ,209.1118531,209.1118531,5045010.836138139,668526.0,1923410.8248138,1360126.2261183301,2491274.9730921597,38.125008791579425,26.959827645474025,49.380963768140965,1518.557,0.6885215803555611
51061,Fauquier County,VA,33.689,33.689,835505.812467813,68025.0,309871.422,219123.36270000003,401357.27040000004,37.0878834564586,26.22643187278144,48.0376395245559,138.006,1.2205628740779386
18141,St. Joseph County,IN,128.114,128.114,3260513.6535060564,267696.0,1178392.5720000002,833291.8902000001,1526298.9504000002,36.14131689750372,25.5570740918062,46.8116104577191,313.09000000000003,2.0459612252068093
42079,Luzerne County,PA,170.0,170.0,4604845.330269633,318917.0,1563659.9999999998,1105731.0000000002,2025312.0,33.95684084591047,24.012337455322417,43.98219385756024,399.861,2.125738694196233
37035,Catawba County,NC,83.44,83.44,2324446.139740225,155461.0,767481.1199999999,542718.7920000001,994070.784,33.01780612932472,23.348305762879633,42.76592031988727,143.981,2.8976045450441377
32031,Washoe County,NV,193.0996533,193.0996533,5900857.789541408,439914.0,1776130.6110533997,1255978.0749591903,2300512.02955488,30.099532549342012,21.284669445606145,38.986061206766806,446.9,2.1604346979189972
29047,Clay County,MO,94.5955,94.5955,2938278.168986498,233135.0,870089.4089999999,615277.5106500001,1126972.9488000001,29.612220455632368,20.940070179340037,38.354876018723836,286.921,1.6484589834832586
46127,Union County,SD,6.0,6.0,190625.91922030807,14842.0,55188.0,39025.80000000001,71481.6,28.95094236173557,20.47245209865587,37.49836343996227,35.088,0.8549931600547196
