county_fips,first_oy,dom_oy,first50_oy,capwt_oy,cap50_oy,name,dc_class,first_op_year
38105,2022.0,2030.0,2022.0,2022.0,2022.0,Williams County,mixed,2022.0
39045,2024.0,2029.0,2024.0,2024.0,2024.0,Fairfield County,clean_dc,2024.0
39049,2001.0,2025.0,2024.0,2021.7,2022.0,Franklin County,clean_dc,2001.0
39063,2024.0,2024.0,2024.0,2024.0,2024.0,Hancock County,crypto,2024.0
39089,2016.0,2027.0,2021.0,2021.4,2021.0,Licking County,clean_dc,2016.0
39111,2022.0,2022.0,2022.0,2022.0,2022.0,Monroe County,crypto,2022.0
39159,2023.0,2025.0,,2024.0,2024.0,Union County,clean_dc,2023.0
40097,2011.0,2028.0,,2018.7,2018.0,Mayes County,clean_dc,2011.0
40101,2024.0,2024.0,2024.0,2024.0,2024.0,Muskogee County,crypto,2024.0
41013,2011.0,2016.0,,2018.7,2020.0,Crook County,clean_dc,2011.0
41049,2011.0,2018.0,2017.0,2021.0,2021.0,Morrow County,clean_dc,2011.0
41059,2012.0,2023.0,2022.0,2021.9,2023.0,Umatilla County,clean_dc,2012.0
41065,2006.0,2014.0,2014.0,2015.3,2014.0,Wasco County,clean_dc,2006.0
41067,2002.0,2024.0,,2021.6,2023.0,Washington County,clean_dc,2002.0
42007,2023.0,2024.0,2023.0,2023.8,2024.0,Beaver County,crypto,2023.0
42079,2023.0,2023.0,2023.0,2023.7,2023.0,Luzerne County,mixed,2023.0
42121,2021.0,2021.0,2021.0,2021.0,2021.0,Venango County,crypto,2021.0
45015,2008.0,2015.0,2015.0,2016.6,2017.0,Berkeley County,clean_dc,2008.0
45083,2022.0,2023.0,,2022.5,2023.0,Spartanburg County,mixed,2022.0
45087,2023.0,2023.0,,2023.0,2023.0,Union County,crypto,2023.0
45091,2014.0,2025.0,2025.0,2024.9,2025.0,York County,clean_dc,2014.0
46119,2023.0,2023.0,,2023.0,2023.0,Sully County,crypto,2023.0
47013,2024.0,2024.0,,2024.0,2024.0,Campbell County,crypto,2024.0
47025,2024.0,2024.0,,2024.0,2024.0,Claiborne County,crypto,2024.0
47035,2024.0,2024.0,,2024.0,2024.0,Cumberland County,crypto,2024.0
47105,2023.0,2023.0,,2023.0,2023.0,Loudon County,crypto,2023.0
47107,2024.0,2024.0,,2024.0,2024.0,McMinn County,clean_dc,2024.0
47113,2025.0,2025.0,,2025.0,2025.0,Madison County,mixed,2025.0
47121,2021.0,2021.0,,2021.0,2021.0,Meigs County,crypto,2021.0
47125,2019.0,2023.0,,2020.5,2020.0,Montgomery County,clean_dc,2019.0
47151,2021.0,2024.0,,2022.5,2021.0,Scott County,crypto,2021.0
47165,2023.0,2025.0,,2023.7,2023.0,Sumner County,clean_dc,2023.0
47173,2022.0,2022.0,,2022.0,2022.0,Union County,crypto,2022.0
48003,2022.0,2022.0,,2022.0,2022.0,Andrews County,crypto,2022.0
48045,2025.0,2025.0,2025.0,2025.0,2025.0,Briscoe County,clean_dc,2025.0
48067,2022.0,2022.0,,2022.0,2022.0,Cass County,crypto,2022.0
48075,2023.0,2023.0,,2023.0,2023.0,Childress County,crypto,2023.0
48103,2023.0,2023.0,2023.0,2023.0,2023.0,Crane County,crypto,2023.0
