county_fips,dcname,mw_peak,oy,ann
04013,Mesa 1,70.08,2023.0,2021.0
19155,Council Bluffs 2 building 8,60.0,2023.0,2022.0
19155,Council Bluffs 2 building 9,60.0,2023.0,2022.0
19155,Council Bluffs 2 building 10,60.0,2023.0,2022.0
39045,Lancaster 1,50.0,2024.0,2021.0
17037,DeKalb 1,90.0,2024.0,2020.0
17037,DeKalb 2,90.0,2024.0,2020.0
04013,Mesa 2,70.08,2024.0,2021.0
39089,Newton Court 3,60.0,2024.0,2023.0
31153,Sarpy 7,80.0,2024.0,2022.0
13217,Social Circle 3,50.0,2024.0,2018.0
17037,DeKalb 3,99.6,2024.0,2022.0
18141,New Carlisle 1,60.0,2024.0,2024.0
18127,Portage,60.0,2024.0,2023.0
01089,Alabama 5,80.0,2024.0,2022.0
16001,Boise,96.0,2024.0,2000.0
29047,Meta Kansas City 1,60.1955,2024.0,2022.0
35061,Los Lunas 8,92.0,2024.0,2022.0
04013,Mesa 3,70.08,2024.0,2022.0
55101,Mount Pleasant 01,90.0,2024.0,2023.0
31153,Sarpy 8,80.0,2024.0,2022.0
32029,US-RNO 4,174.55679999999998,2024.0,2022.0
01089,Alabama 6,80.0,2025.0,2022.0
01089,Alabama 7,80.0,2025.0,2022.0
39049,Columbus (Lockbourne) 1,50.0,2024.0,2021.0
51153,Gainesville East,107.6923077,2025.0,2022.0
32003,Henderson-3,60.0,2025.0,2024.0
18141,New Carlisle 2,60.0,2025.0,2024.0
13217,Social Circle 4,50.0,2025.0,2018.0
17037,DeKalb 4,99.6,2025.0,2022.0
28089,"Madison County, MS Ridgeland 1",80.0,2025.0,2024.0
04013,Mesa 4,70.08,2024.0,2022.0
04013,Mesa 5,70.08,2025.0,2022.0
51107,Digital Dulles 3,95.985,2024.0,2018.0
45015,Berkeley County 5,50.8248,2015.0,2007.0
19155,Council Bluffs 2 building 4,60.0,2015.0,2015.0
53025,WA13,63.6,2023.0,2022.0
38021,HPC datacenter North Dakota building 1,80.0,2025.0,2023.0
39089,New Albany 3a,50.0,2023.0,2021.0
39049,New Albany 4a,50.0,2024.0,2023.0
39049,New Albany 5a,50.0,2025.0,2023.0
39049,Columbus (Lockbourne) 2,50.0,2025.0,2021.0
39045,Lancaster 2,50.0,2024.0,2021.0
39089,New Albany 7a,50.0,2024.0,2019.0
39049,New Albany 6a,50.0,2025.0,2019.0
41049,PDX92,50.0,2021.0,2019.0
41049,PDX66,51.9,2021.0,2019.0
41059,PDX63,50.0,2022.0,2019.0
41049,PDX93,50.0,2022.0,2022.0
41049,PDX109,50.0,2022.0,2022.0
41059,PDX130,50.0,2023.0,2019.0
41059,PDX131,50.0,2023.0,2019.0
41049,PDX110,50.0,2023.0,2022.0
41049,PDX111,50.0,2023.0,2022.0
41059,PDX138,50.0,2024.0,2022.0
41049,PDX112,50.0,2024.0,2022.0
41059,PDX132,50.0,2024.0,2022.0
41059,PDX194,50.0,2024.0,2022.0
41049,PDX181,50.0,2024.0,2022.0
41049,PDX179,50.0,2024.0,2022.0
41049,PDX180,50.0,2024.0,2022.0
41049,PDX178,50.0,2024.0,2022.0
41049,PDX170,50.0,2024.0,2022.0
41059,PDX133,50.0,2025.0,2022.0
41059,PDX195,50.0,2025.0,2022.0
37069,Franklin County,500.0,2017.0,2017.0
13313,"Dalton 1, GA",97.5,2018.0,2018.0
13313,"Dalton 2, GA",97.5,2018.0,2018.0
